,Date,Cases per day,Deaths per day,7 Day Average Positive Test Rate,Tests per day,7 day rolling case average,Total deaths,Total cases
43,05/14,373,13,0.0825664864181134,5860.0,294.2857142857143,434,11243
44,05/15,410,11,0.08570490040911398,6469.0,299.2857142857143,445,11653
24,05/16,502,8,0.1017990092412874,6051.0,321.14285714285717,453,12155
25,05/17,356,0,0.06765304737342202,5824.0,332.0,453,12511
26,05/18,144,6,0.026020961329960245,4972.0,324.14285714285717,459,12655
27,05/19,198,8,0.03670259248470725,3933.0,324.85714285714283,467,12853
28,05/20,528,14,0.09309823677581863,6591.0,358.7142857142857,481,13381
29,05/21,472,6,0.07639306358381504,9410.0,372.85714285714283,487,13853
30,05/22,511,9,0.0765019141518917,9976.0,387.2857142857143,496,14364
31,05/23,481,11,0.07042017861251124,7107.0,384.2857142857143,507,14845
32,05/24,400,3,0.05683432793407218,7277.0,390.57142857142856,510,15245
33,05/25,307,4,0.0415073202765867,7480.0,413.85714285714283,514,15552
34,05/26,279,3,0.03511642542479547,7774.0,425.42857142857144,517,15831
35,05/27,599,22,0.07064393301209691,10330.0,435.57142857142856,539,16430
36,05/28,512,11,0.05917120686808651,10626.0,441.2857142857143,550,16942
93,05/29,733,18,0.07992709826157393,13602.0,473.0,568,17675
94,05/30,523,20,0.0546973047271858,9843.0,479.0,588,18198
95,05/31,173,4,0.018068424272264745,7368.0,446.57142857142856,592,18371
96,06/01,140,3,0.01551246537396122,3632.0,422.7142857142857,595,18511
8,06/02,374,12,0.03971299849824795,10522.0,436.2857142857143,607,18885
9,06/03,483,9,0.046929654100272056,16451.0,419.7142857142857,616,19368
10,06/04,492,10,0.04681510480384961,12148.0,416.85714285714283,626,19860
83,06/05,357,7,0.034571009600752566,12322.0,363.14285714285717,633,20217
84,06/06,322,12,0.030363036303630363,11792.0,334.42857142857144,645,20539
85,06/07,264,2,0.02363292240012277,11329.0,347.42857142857144,647,20803
86,06/08,203,0,0.017296994631967183,7589.0,356.42857142857144,647,21006
87,06/09,270,15,0.02201309138344709,14227.0,341.57142857142856,662,21276
88,06/10,285,10,0.025064703369600722,10187.0,313.2857142857143,672,21561
89,06/11,333,11,0.03038281565673023,9275.0,290.57142857142856,683,21894
90,06/12,320,7,0.029463217015007825,11628.0,285.2857142857143,690,22214
