,Unnamed: 0,Date,Cases per day,Deaths per day,7 Day Average Positive Test Rate,Tests per day,7 day rolling case average,Total deaths,Total cases
78,96,06/01,140,3,0.01551246537396122,3632.0,422.71428571428567,595,18511
79,8,06/02,374,12,0.03971299849824795,10522.0,436.28571428571433,607,18885
80,9,06/03,483,9,0.046929654100272056,16451.0,419.71428571428567,616,19368
81,10,06/04,492,10,0.046815104803849615,12148.0,416.8571428571428,626,19860
82,83,06/05,357,7,0.034571009600752566,12322.0,363.1428571428572,633,20217
83,84,06/06,322,12,0.030363036303630363,11792.0,334.42857142857144,645,20539
84,85,06/07,264,2,0.02363292240012277,11329.0,347.42857142857144,647,20803
85,86,06/08,203,0,0.017296994631967183,7589.0,356.42857142857144,647,21006
86,87,06/09,270,15,0.022013091383447092,14227.0,341.57142857142856,662,21276
87,88,06/10,285,10,0.02506470336960072,10187.0,313.2857142857143,672,21561
88,89,06/11,333,11,0.03038281565673023,9275.0,290.57142857142856,683,21894
89,90,06/12,320,7,0.029463217015007825,11628.0,285.2857142857143,690,22214
90,91,06/13,272,2,0.025203854707190512,11309.0,278.14285714285717,692,22486
91,92,06/14,240,1,0.022881425185911575,9207.0,274.7142857142857,693,22726
92,3,06/15,174,2,0.016896015980468318,6255.0,270.57142857142856,695,22900
93,4,06/16,266,9,0.02698159687001884,11149.0,270.0,704,23166
94,102,06/17,256,9,0.02616631379134117,9662.0,265.85714285714283,713,23422
95,103,06/18,422,7,0.04231546075720896,10599.0,278.57142857142856,720,23844
96,105,06/19,278,11,0.02808202375283201,11116.0,272.57142857142856,731,24122
97,7,06/20,385,14,0.03952482217496517,10197.0,288.7142857142857,745,24507
98,6,06/21,280,0,0.030140398898952776,6051.0,294.42857142857144,745,24787
99,5,06/22,249,1,0.02668279166602881,6549.0,305.14285714285717,746,25036
100,109,06/23,263,5,0.027907470288624787,11794.0,304.7142857142857,751,25299
101,108,06/24,432,7,0.04555863565144029,10070.0,329.85714285714283,758,25731
102,106,06/25,464,9,0.04847833549754474,11222.0,335.85714285714283,767,26195
103,107,06/26,520,0,0.05599138594062452,9127.0,370.4285714285714,767,26715
104,104,06/27,539,11,0.059038915924703075,9094.0,392.4285714285714,778,27254
105,110,06/28,457,0,0.049722554673049715,6481.0,417.71428571428567,778,27711
106,111,06/29,315,0,0.03460723534489524,5927.0,427.1428571428572,778,28026
107,113,06/30,601,7,0.0650211739977126,12781.0,475.4285714285714,785,28627
108,120,07/01,540,2,0.056216537775133836,12608.0,490.8571428571428,787,29167
109,121,07/02,539,7,0.05476370181142592,12878.0,501.57142857142856,794,29706
110,101,07/03,579,3,0.057937245372024875,10186.0,510.0,797,30285
111,100,07/04,738,0,0.07632640397145518,6822.0,538.4285714285714,797,31023
112,98,07/05,522,0,0.05519804223692559,4996.0,547.7142857142857,797,31545
113,99,07/06,484,0,0.05168021721555288,5286.0,571.8571428571429,797,32029
114,97,07/07,495,9,0.05300596603946764,12594.0,556.7142857142857,806,32524
115,131,07/08,598,2,0.0659233361680683,10736.0,565.0,808,33122
116,130,07/09,754,2,0.08275580921320833,13158.0,595.7142857142858,810,33876
117,128,07/10,845,5,0.08922376082300057,12702.0,633.7142857142858,815,34721
118,129,07/11,926,7,0.09066875550768627,12019.0,660.5714285714286,822,35647
119,139,07/12,769,0,0.07263331174438688,7617.0,695.8571428571429,822,36416
120,132,07/13,494,0,0.04583349901255186,6621.0,697.2857142857142,822,36910
121,133,07/14,964,6,0.0870339081423394,14680.0,764.2857142857142,828,37874
122,134,07/15,821,1,0.07119496543693167,13925.0,796.1428571428571,829,38695
123,135,07/16,900,4,0.07698417547504124,14271.0,817.0,833,39595
124,136,07/17,880,2,0.07463048219045312,13407.0,822.0,835,40475
125,137,07/18,978,10,0.08253662065223942,12424.0,829.4285714285713,845,41453
126,138,07/19,830,1,0.0696500713283863,8089.0,838.1428571428571,846,42283
127,140,07/20,703,2,0.058731560605337275,6992.0,868.0,848,42986
128,118,07/21,1117,13,0.0935331834059046,14488.0,889.8571428571429,861,44103
129,119,07/22,712,6,0.05901647108974435,14780.0,874.2857142857142,867,44815
130,145,07/23,1052,13,0.0861851036936473,15264.0,896.0,880,45867
131,146,07/24,1018,0,0.07962633949023945,17456.0,915.7142857142856,880,46885
132,141,07/25,953,13,0.0730908294072532,14201.0,912.1428571428572,893,47838
133,151,07/26,957,1,0.07190931633014525,9978.0,930.2857142857144,894,48795
134,142,07/27,590,1,0.04435470879469032,6946.0,914.1428571428572,895,49385
135,154,07/28,762,13,0.057324635407151076,14424.0,863.4285714285713,908,50147
136,149,07/29,870,5,0.06550993405978724,14694.0,886.0,913,51017
137,148,07/30,1059,8,0.0780570501953269,17270.0,887.0,921,52076
138,147,07/31,832,15,0.06269646471170823,15379.0,860.4285714285713,936,52908
139,157,08/01,1062,13,0.07946637590995094,14858.0,876.0,949,53970
140,155,08/02,922,1,0.0692385264016135,9643.0,871.0,950,54892
141,156,08/03,404,1,0.030265087060284024,7173.0,844.4285714285713,951,55296
142,159,08/04,728,12,0.052452266996037264,18138.0,839.5714285714287,963,56024
143,158,08/05,884,9,0.062200956937799035,17023.0,841.5714285714287,972,56908
144,160,08/06,839,8,0.05877702161729384,17706.0,810.1428571428571,980,57747
145,162,08/07,989,12,0.07019376032932158,14086.0,832.5714285714287,992,58736
146,161,08/08,1165,6,0.08413201143081163,13162.0,847.2857142857142,998,59901
147,143,08/09,621,2,0.045899942981437285,7418.0,804.2857142857142,1000,60522
148,144,08/10,507,0,0.0370846394984326,8167.0,819.0,1000,61029
149,117,08/11,724,8,0.055593949166858635,13599.0,818.4285714285713,1008,61753
150,116,08/12,478,5,0.039803954224263034,9924.0,760.4285714285713,1013,62231
151,114,08/13,943,7,0.08379987558873189,12415.0,775.2857142857142,1020,63174
152,115,08/14,1021,7,0.09513604174431606,10439.0,779.8571428571429,1027,64195
153,163,08/15,829,13,0.0791710438353548,11335.0,731.8571428571429,1040,65024
154,126,08/16,685,1,0.06661757759315345,6099.0,741.0,1041,65709
155,127,08/17,455,0,0.045648030040273464,5962.0,733.5714285714287,1041,66164
156,125,08/18,634,13,0.06707473739892693,9991.0,720.7142857142858,1054,66798
157,164,08/19,663,8,0.07067153951576062,9429.0,747.1428571428571,1062,67461
158,124,08/20,740,7,0.08205810601020183,9871.0,718.1428571428571,1069,68201
159,166,08/21,826,1,0.09140490380511247,10570.0,690.2857142857142,1070,69027
160,165,08/22,950,13,0.10969614991257301,8700.0,707.5714285714287,1083,69977
161,122,08/23,453,0,0.053440517720815005,4814.0,674.4285714285714,1083,70430
162,123,08/24,392,0,0.04711538461538462,4865.0,665.4285714285714,1083,70822
163,112,08/25,638,13,0.07668795933786662,9987.0,666.0,1096,71460
164,168,08/26,768,6,0.09083382613837966,10378.0,681.0,1102,72228
165,173,08/27,878,11,0.10225438815406374,10791.0,700.7142857142858,1113,73106
166,172,08/28,843,2,0.10054352456083557,9156.0,703.1428571428571,1115,73949
167,170,08/29,819,6,0.09759460701700627,8752.0,684.4285714285714,1121,74768
168,171,08/30,537,3,0.06368164261028664,5099.0,696.4285714285713,1124,75305
169,169,08/31,266,0,0.03211396836894845,3818.0,678.4285714285714,1124,75571
170,167,09/01,981,8,0.11475985159931815,11844.0,727.4285714285713,1132,76552
171,176,09/02,545,12,0.06596237637457639,8376.0,695.5714285714287,1144,77097
172,175,09/03,727,4,0.09051455809899862,9178.0,674.0,1148,77824
173,174,09/04,1498,7,0.17842740220184108,11702.0,767.5714285714287,1155,79322
174,177,09/05,946,15,0.1140976601536924,8021.0,785.7142857142858,1170,80268
175,178,09/06,893,0,0.106949767314536,5509.0,836.5714285714287,1170,81161
176,152,09/07,567,0,0.06604432907348243,5466.0,879.5714285714287,1170,81728
177,150,09/08,717,0,0.09590140441387217,4083.0,841.8571428571429,1170,82445
178,182,09/09,857,15,0.11355290554609125,8871.0,886.4285714285713,1185,83302
179,181,09/10,1547,10,0.20636886839196555,8822.0,1003.5714285714287,1195,84849
180,153,09/11,1369,4,0.18891320204230488,9955.0,985.1428571428572,1199,86218
181,183,09/12,1353,12,0.17432357813362784,11624.0,1043.2857142857142,1211,87571
182,180,09/13,1582,1,0.19580592686894405,7735.0,1141.7142857142858,1212,89153
183,184,09/14,771,0,0.09810943464824576,3920.0,1170.857142857143,1212,89924
184,179,09/15,1348,10,0.14932033611317708,12266.0,1261.0,1222,91272
