,Region,Date,New Cases,Estimated Effective R,95% CI Low,95% CI High,one
85,San Francisco,2020-04-27,16,1.00489781143188,0.513630376124283,1.4961652467394702,1
86,San Francisco,2020-04-28,44,1.00905890632164,0.712201385200068,1.30591642744322,1
87,San Francisco,2020-04-29,19,1.01143138834991,0.55914727013216,1.46371550656767,1
88,San Francisco,2020-04-30,12,1.01114220158214,0.442103721682883,1.58018068148139,1
89,San Francisco,2020-05-01,24,1.00764263723492,0.605964205072532,1.40932106939731,1
90,San Francisco,2020-05-02,26,1.00093308441103,0.616292253212968,1.38557391560909,1
91,San Francisco,2020-05-03,80,0.9916142578973042,0.773354137281342,1.20987437851327,1
92,San Francisco,2020-05-04,60,0.980748519364028,0.7301017527804191,1.23139528594764,1
93,San Francisco,2020-05-05,68,0.969584438389256,0.7354810664435509,1.20368781033496,1
94,San Francisco,2020-05-06,19,0.9592761410652091,0.5187440538461771,1.3998082282842401,1
95,San Francisco,2020-05-07,27,0.9507615526482591,0.582849032426768,1.31867407286975,1
96,San Francisco,2020-05-08,50,0.944729014396001,0.675224501363184,1.21423352742882,1
97,San Francisco,2020-05-09,38,0.9416111193263531,0.6329731386498579,1.2502491000028502,1
98,San Francisco,2020-05-10,52,0.9415189253476909,0.67768905685188,1.2053487938435,1
99,San Francisco,2020-05-11,11,0.94415746432199,0.369707404237276,1.5186075244066999,1
100,San Francisco,2020-05-12,23,0.948826818629541,0.5505755344047829,1.3470781028543002,1
101,San Francisco,2020-05-13,17,0.9545336648653391,0.48990087516467207,1.4191664545660099,1
102,San Francisco,2020-05-14,10,0.960192320846797,0.3525670687611479,1.56781757293245,1
103,San Francisco,2020-05-15,25,0.9648209560643729,0.5795960950469761,1.35004581708177,1
104,San Francisco,2020-05-16,33,0.967705387583339,0.6318975984169829,1.3035131767497,1
105,San Francisco,2020-05-17,32,0.968468201184063,0.627303496498129,1.30963290587,1
106,San Francisco,2020-05-18,38,0.9670644006866509,0.654201363229918,1.2799274381433798,1
107,San Francisco,2020-05-19,51,0.9637711751759079,0.694156020446838,1.2333863299049799,1
108,San Francisco,2020-05-20,3,0.9591374585482321,-0.150128237101045,2.06840315419751,1
109,San Francisco,2020-05-21,13,0.953949203454371,0.422565762840891,1.48533264406785,1
110,San Francisco,2020-05-22,121,0.949120318894402,0.7753821384842908,1.12285849930451,1
111,San Francisco,2020-05-23,30,0.945451868945429,0.597172760612682,1.29373097727818,1
112,San Francisco,2020-05-24,17,0.9433580734739392,0.48116107563803906,1.4055550713098401,1
113,San Francisco,2020-05-25,19,0.9427511739422401,0.5056604036782539,1.37984194420622,1
114,San Francisco,2020-05-26,13,0.9431845657663129,0.414579065703104,1.47179006582952,1
115,San Francisco,2020-05-27,9,0.944130259124538,0.308407342674724,1.5798531755743501,1
116,San Francisco,2020-05-28,29,0.945221802645207,0.590852627574996,1.29959097771542,1
117,San Francisco,2020-05-29,36,0.9463415122673091,0.6280553511983771,1.26462767333624,1
118,San Francisco,2020-05-30,59,0.9475580338456852,0.698739729847739,1.1963763378436298,1
