Date,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-05-03,0.7809057254543801,1.0316443826747,0.915978882812765,0.9197238323937049,1.01197752580421,0.990646131699218
2020-05-04,0.792890004637989,1.03604098313214,0.9202530331244771,,1.00960799512446,0.9797108999800039
2020-05-05,0.8066812935427521,1.04062104495056,0.9262402134466429,0.989218139215772,1.0084931162875401,0.9684709119703192
2020-05-06,0.8220149581384091,1.04550299686993,0.93405164092405,,1.00867744180126,0.9580787533038381
2020-05-07,0.838578762100755,1.05087317267938,0.943797288386399,,1.01015702107687,0.9494707963690681
2020-05-08,0.856074589143575,1.05691802692517,0.955502730778487,1.0911776831642,1.01286012251023,0.943333891856149
2020-05-09,0.874261777703508,1.0637194411991602,0.969017035108859,1.12053712953365,1.0166348121349398,0.9400992474506179
2020-05-10,0.8929181660381259,1.07117796031673,0.9839344219763639,1.14657268352225,1.0212617920620501,0.9398767658637808
2020-05-11,0.911782627514673,1.07898403581143,,1.1686414250558101,1.02650369763595,0.942370712109479
2020-05-12,0.930500970701292,1.08669772924338,1.01510758831322,1.18597930368652,1.03215468458791,0.946880864363407
2020-05-13,,1.09386804899755,1.02956705059343,1.1978469666507099,1.0380650196349699,0.952414021257289
2020-05-14,0.9656911457346999,1.10016328859461,1.04209589493788,1.20377792202441,1.04412391087128,0.957884827330868
2020-05-15,0.9812252566844409,1.1054405935190201,1.05199265685675,1.20380613192679,1.05020178100632,0.9623117203841
2020-05-16,0.994791335644075,1.1097028596333998,1.05883364245356,1.19854145704547,1.05609633928339,0.964980424292465
2020-05-17,1.0059604993563,1.11298978508847,1.06252588611477,1.18901957708265,1.0614773224901,0.965512846703767
2020-05-18,,1.1152820744096101,1.0633220870687201,1.17638880636076,1.06586774000601,0.9638626239860859
2020-05-19,1.01956772729798,1.1164915836366298,1.06178561422709,1.16166060892181,1.0686924584428399,0.9603047268534441
2020-05-20,1.02158054177315,1.1164892926194399,1.0587361914384499,1.14566837735386,1.0694141274889,0.9553849546372379
2020-05-21,1.02061485559227,1.1151667419236102,1.0551731988658,1.12919480518147,1.06770400433173,0.9498851472049521
