,Santa Clara,Alameda,Contra Costa,Marin,San Mateo,San Francisco
2020-04-30,0.756823554259571,1.01950575849647,0.9126646006770051,0.842003468263402,1.02534489714538,1.01056525298441
2020-05-01,0.763309275853045,1.02355549635738,0.91280413078779,0.8629563519359209,1.0202164225596702,1.00702208164744
2020-05-02,0.7715184505712921,1.02773355543766,0.9140851022616979,0.889338356779059,1.01574706063518,1.00026639145751
2020-05-03,0.7816272758005061,1.03202268312561,0.9168071873085258,0.920218910200315,1.01223991127499,0.990898309419782
2020-05-04,0.793676028183848,1.03644300997656,0.9211391113844649,,1.00988749655278,0.9799793164585799
2020-05-05,0.8075368686165859,1.04104817230992,0.92718836787238,0.989784588953943,1.00879121046004,0.9687569023151129
2020-05-06,0.8229452028638579,1.04595674865767,0.9350664598592799,,1.0089957363334598,0.958384035383808
2020-05-07,0.839588788488022,1.05135525647559,0.9448836265970291,,1.01049725144243,0.949797463499966
2020-05-08,0.8571694765492109,1.05743034089373,0.956665605551079,1.09185070564894,1.01322414093098,0.9436843880311669
2020-05-09,0.875446563450159,1.0642640378355102,0.970261433086703,1.12124364848216,1.01702456871777,0.9404763237778171
2020-05-10,0.894197795400614,1.07175697900713,0.9852650217672092,1.14731123426619,1.02167932068803,0.940283406278441
2020-05-11,0.913161856480611,1.07959961458359,,1.16941020077862,1.02695111355441,0.942810015259192
2020-05-12,0.93198422513806,1.08735194859392,1.01662192613421,1.1867760355213601,1.0326341981945,0.947355905351814
2020-05-13,,1.09456292744562,1.03117708480694,1.1986688988211798,1.03857895964058,0.9529277324620791
2020-05-14,0.9673937833881929,1.10090083681157,1.04380290133505,1.2046219567168,1.04467473471757,0.9584399313444941
2020-05-15,0.98304212106446,1.10622291707134,1.05379714525637,1.20466916178335,1.0507920675585,0.962910740605754
2020-05-16,0.9967246528813809,1.11053224193345,1.06073570400437,1.1994207780308999,1.0567287509259,0.965625773046325
2020-05-17,1.0080118784685,1.11386871421848,1.06452567309426,1.1899132193388202,1.0621545349991601,0.9662069671572359
2020-05-18,,1.1162132194416001,1.06542036762417,1.17729564957835,1.06659235800184,0.964608166374345
2020-05-19,1.0218579062700899,1.1174777467006398,1.06398433660361,1.16258029031225,1.0694669342266099,0.9611047453706228
2020-05-20,1.0239910743565799,1.11753339343319,1.06103902654699,1.1466011811848702,1.07024077243062,0.95624312462092
2020-05-21,1.02314712364365,1.11627184140285,1.0575859759881299,1.13014165692291,1.0685851059340798,0.950805987607674
2020-05-22,1.0200073155590799,1.11363219390549,1.05468936753171,1.1140696828578798,1.06450288850423,0.945703333197453
2020-05-23,1.01562639264087,1.1096104939390001,1.05334313871651,1.09929968283891,1.0582927129511,0.9417321732821129
2020-05-24,1.01121386699266,1.1042312395708402,1.05430531324015,1.08662099262014,1.05041405734483,0.9393032025107679
