,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tests,Positive Test Rate,Tests Per Day,New Cases 7 Day Average
58,5/3/20,49267,962,2444,26,240641,20.473236065342146,5265,1157.4285714285713
59,5/4/20,50092,825,2458,14,245590,20.396595952603928,4949,1148.857142857143
60,5/5/20,50957,865,3012,554,250882,20.31114229000088,5292,1099.0
61,5/6/20,51845,888,3106,94,256340,20.225091675118986,5458,1068.4285714285713
62,5/7/20,52915,1070,3416,310,262788,20.136003166050198,6448,1021.7142857142856
63,5/8/20,54238,1323,3616,200,270559,20.046644170033158,7771,1038.142857142857
64,5/9/20,55316,1078,3688,72,277107,19.96196415103191,6548,1001.5714285714287
65,5/10/20,56611,1295,3707,19,284383,19.906604825182942,7276,1049.142857142857
66,5/11/20,57154,543,3731,24,288858,19.786192523662148,4475,1008.8571428571428
67,5/12/20,57991,837,3806,75,295980,19.592877897155216,7122,1004.8571428571428
68,5/13/20,58698,707,3943,137,302869,19.380656323360924,6889,979.0
69,5/14/20,59636,938,4218,275,311195,19.163546972155725,8326,960.1428571428572
70,5/15/20,60622,986,4342,124,319832,18.954326021161112,8637,912.0
71,5/16/20,61611,989,4403,61,327836,18.793238082455858,8004,899.2857142857142
72,5/17/20,62234,623,4418,15,332904,18.694278230360702,5068,803.2857142857142
73,5/18/20,63056,822,4505,87,340609,18.51272279945627,7705,843.1428571428571
74,5/19/20,63666,610,4624,119,349700,18.205890763511587,9091,810.7142857142858
75,5/20/20,63666,0,4624,0,349700,18.205890763511587,0,709.7142857142858
76,5/21/20,65392,1726,4869,245,368906,17.725924761321313,19206,822.2857142857142
77,5/22/20,66258,866,4984,115,379001,17.48227577235944,10095,805.1428571428571
78,5/23/20,66983,725,5096,112,388452,17.243571921369952,9451,767.4285714285713
79,5/24/20,67713,730,5124,28,396095,17.09514131710827,7643,782.7142857142858
80,5/25/20,68186,473,5139,15,403114,16.914818140774074,7019,732.8571428571429
81,5/26/20,68637,451,5152,13,408472,16.803354942321626,5358,710.1428571428571
82,5/27/20,69417,780,5265,113,419407,16.551225897517206,10935,821.5714285714287
83,5/28/20,70042,625,5373,108,427846,16.370843714794574,8439,664.2857142857142
84,5/29/20,71339,1297,5464,91,438309,16.275960566632214,10463,725.8571428571429
85,5/30/20,72031,692,5537,73,447772,16.08653511161931,9463,721.1428571428571
86,5/31/20,72546,515,5555,18,455657,15.921186330946306,7885,690.4285714285713
