Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Tests,Positive Test Rate,Tests Per Day,New Cases 7 Day Average
5/28/20,70042,625,5373,108,427846,16.370843714794574,8439,664.2857142857143
5/29/20,71339,1297,5464,91,438309,16.275960566632218,10463,725.8571428571429
5/30/20,72031,692,5537,73,447772,16.08653511161931,9463,721.1428571428571
5/31/20,72546,515,5555,18,455657,15.921186330946306,7885,690.4285714285714
6/1/20,72898,352,5567,12,462329,15.767559465229306,6672,673.1428571428571
6/2/20,73510,612,5667,100,472871,15.545465888159773,10542,696.1428571428571
6/3/20,74022,512,5741,74,475391,15.570761751905273,2520,657.8571428571429
6/4/20,74560,538,5817,76,491502,15.169826368966962,16111,645.4285714285714
6/5/20,75005,445,5886,69,499206,15.024859476849237,7704,523.7142857142857
6/6/20,75706,701,5931,45,510828,14.820252609488907,11622,525.0
6/7/20,76212,506,5943,12,520385,14.645310683436302,9557,523.7142857142857
6/8/20,76563,351,5953,10,527950,14.501941471730278,7565,523.5714285714286
6/9/20,77056,493,6014,61,536304,14.367970404845012,8354,506.57142857142856
6/10/20,77466,410,6062,48,544430,14.228826479069854,8126,492.0
6/11/20,77933,467,6113,51,554372,14.057888926569163,9942,481.85714285714283
6/12/20,77999,66,6162,49,566384,13.771398909573717,12012,427.7142857142857
6/13/20,78462,463,6211,49,575051,13.644355022424099,8667,393.7142857142857
6/14/20,78798,336,6215,4,583233,13.51055238643904,8182,369.42857142857144
6/15/20,79121,323,6243,28,593030,13.341820818508337,9797,365.42857142857144
6/16/20,79483,362,6276,33,603092,13.179249600392643,10062,346.7142857142857
6/17/20,79818,335,6319,43,612831,13.024471673267183,9739,336.0
6/18/20,80236,418,6361,42,624068,12.856932257382208,11237,329.0
6/19/20,80762,526,6399,38,637218,12.67415546955673,13150,394.7142857142857
6/20/20,81266,504,6419,20,647727,12.546335107228817,10509,400.57142857142856
6/21/20,81730,464,6423,4,657745,12.425788109373693,10018,418.85714285714283
6/22/20,82186,456,6426,3,667848,12.306093602137015,10103,437.85714285714283
6/23/20,82696,510,6464,38,679103,12.177239682345682,11255,459.0
6/24/20,83191,495,6518,54,691408,12.03211417860366,12305,481.85714285714283
6/25/20,83770,579,6557,39,704801,11.885624452859743,13393,504.85714285714283
6/26/20,84370,600,6579,22,719081,11.733031466552447,14280,515.4285714285714
6/27/20,84370,0,6579,0,719081,11.733031466552447,0,443.42857142857144
6/28/20,85496,1126,6579,0,742982,11.50714283791532,23901,538.0
6/29/20,85988,492,6614,35,752889,11.421072694646888,9907,543.1428571428571
6/30/20,86606,618,6649,35,764187,11.333089937410607,11298,558.5714285714286
7/1/20,87242,636,6649,0,776804,11.230889645264442,12617,578.7142857142857
7/2/20,88074,832,6712,63,790273,11.144756305732322,13469,614.8571428571429
7/3/20,88741,667,6746,34,804144,11.035461310412066,13871,624.4285714285714
7/4/20,89375,634,6749,3,814823,10.968639815027313,10679,715.0
7/5/20,89854,479,6753,4,824700,10.895355886989208,9877,622.5714285714286
7/6/20,90304,450,6754,1,833324,10.836601369935343,8624,616.5714285714286
7/7/20,91299,995,6787,33,850102,10.739770051123276,16778,670.4285714285714
7/8/20,92148,849,6812,25,866526,10.634187548902167,16424,700.8571428571429
7/9/20,92867,719,6848,36,880023,10.552792370199416,13497,684.7142857142857
7/10/20,93876,1009,6880,32,898640,10.446452416985668,18617,733.5714285714286
7/11/20,94689,813,6897,17,912323,10.378889932622547,13683,759.1428571428571
7/12/20,95266,577,6904,7,924284,10.307005206192036,11961,773.1428571428571
7/13/20,95742,476,6911,7,931474,10.278547764081445,7190,776.8571428571429
7/14/20,96671,929,6931,20,947283,10.205081269272224,15809,767.4285714285714
7/15/20,97665,994,6957,26,968649,10.082599579414216,21366,788.1428571428571
7/16/20,98446,781,6973,16,983641,10.008326208443934,14992,797.0
7/17/20,99478,1032,6992,19,999390,9.95387186183572,15749,800.2857142857143
7/18/20,100241,763,7007,15,1012727,9.898126543481116,13337,793.1428571428571
7/19/20,101027,786,7015,8,1027379,9.83346944019685,14652,823.0
7/20/20,101738,711,7018,3,1039913,9.78331841221333,12534,856.5714285714286
7/21/20,102765,1027,7038,20,1055763,9.733718647082727,15850,870.5714285714286
7/22/20,103396,631,7063,25,1071477,9.649857159789711,15714,818.7142857142857
7/23/20,104358,962,7079,16,1085617,9.612782408528975,14140,844.5714285714286
7/24/20,105571,1213,7101,22,1104948,9.554386269761112,19331,870.4285714285714
7/25/20,106625,1054,7114,13,1123330,9.491867928391478,18382,912.0
7/26/20,107425,800,7118,4,1136201,9.454753164272871,12871,914.0
7/27/20,108264,839,7122,4,1150688,9.408632053171667,14487,932.2857142857143
7/28/20,109384,1120,7146,24,1169160,9.355776797016661,18472,945.5714285714286
7/29/20,110218,834,7162,16,1184081,9.308315900685848,14921,974.5714285714286
7/30/20,111078,860,7176,14,1199937,9.256985991764568,15856,960.0
7/31/20,112048,970,7189,13,1216872,9.207870671689381,16935,925.2857142857143
8/1/20,112936,888,7204,15,1232322,9.164487853012442,15450,901.5714285714286
8/2/20,113590,654,7209,5,1244569,9.126854356809467,12247,880.7142857142857
8/3/20,114155,565,7209,0,1256569,9.084658303682486,12000,841.5714285714286
8/4/20,115009,854,7232,23,1271529,9.044937236980045,14960,803.5714285714286
8/5/20,115714,705,7244,12,1284725,9.00690809317169,13196,785.1428571428571
8/6/20,116521,807,7282,38,1300251,8.961423602058371,15526,777.5714285714286
8/7/20,117279,758,7297,15,1316899,8.905694362285946,16648,747.2857142857143
8/8/20,118092,813,7313,16,1333057,8.85873597303041,16158,736.5714285714286
8/9/20,118852,760,7314,1,1347210,8.822084159114022,14153,751.7142857142857
8/10/20,119453,601,7317,3,1360283,8.781481500540696,13073,756.8571428571429
8/11/20,120281,828,7352,35,1375594,8.743931712409331,15311,753.1428571428571
8/12/20,121130,849,7385,33,1393106,8.694959321114116,17512,773.7142857142857
8/13/20,122121,991,7409,24,1410994,8.6549623882171,17888,800.0
8/14/20,122950,829,7445,36,1427689,8.61181952091807,16695,810.1428571428571
8/15/20,123800,850,7465,20,1443684,8.575283787864935,15995,815.4285714285714
8/16/20,124460,660,7468,3,1456863,8.543013310105342,13179,801.1428571428571
8/17/20,124844,384,7468,0,1467319,8.508306646339344,10456,770.1428571428571
8/18/20,125579,735,7499,31,1479566,8.487556486158779,12247,756.8571428571429
8/19/20,126149,570,7523,24,1494467,8.441069625491899,14901,717.0
8/20/20,126940,791,7538,15,1513011,8.389892737065361,18544,688.4285714285714
8/21/20,127633,693,7558,20,1527142,8.35763799306155,14131,669.0
8/22/20,128429,796,7576,18,1540553,8.336551874554138,13411,661.2857142857143
8/23/20,129048,619,7578,2,1553020,8.309487321476865,12467,655.4285714285714
8/24/20,129474,426,7579,1,1562838,8.284543887466263,9818,661.4285714285714
8/25/20,130035,561,7605,26,1575205,8.255116000774503,12367,636.5714285714286
8/26/20,130536,501,7624,19,1588178,8.219229834439211,12973,626.7142857142857
8/27/20,131156,620,7635,11,1602921,8.182312166351306,14743,602.2857142857143
8/28/20,131991,835,7655,20,1620826,8.143440443329512,17905,622.5714285714286
8/29/20,132834,843,7671,16,1636942,8.114765214650244,16116,629.2857142857143
8/30/20,133504,670,7673,2,1649403,8.094080100496967,12461,636.5714285714286
8/31/20,134025,521,7673,0,1658220,8.082461916995333,8817,650.1428571428571
9/1/20,134795,770,7691,18,1674764,8.048596697803392,16544,680.0
9/2/20,135611,816,7712,21,1687696,8.035274125197903,12932,725.0
9/3/20,136771,1160,7732,20,1702214,8.034888680271694,14518,802.1428571428571
9/4/20,137662,891,7742,10,1714541,8.029087668361386,12327,810.1428571428571
9/5/20,138625,963,7760,18,1727706,8.023645226676297,13165,827.2857142857143
9/6/20,139316,691,7760,0,1738615,8.013044866172212,10909,830.2857142857143
9/7/20,139863,547,7780,20,1748241,8.000212785308204,9626,834.0
9/8/20,140359,496,7791,11,1755076,7.997317495082834,6835,794.8571428571429
9/9/20,141290,931,7805,14,1766930,7.99635526025366,11854,811.2857142857143
9/10/20,141877,587,7820,15,1781226,7.96513188107517,14296,729.4285714285714
9/11/20,142885,1008,7837,17,1794913,7.960552962734127,13687,746.1428571428571
9/12/20,143805,920,7837,0,1807805,7.954674314984193,12892,740.0
9/13/20,143881,76,7837,0,1807881,7.958543731584103,76,652.1428571428571
9/14/20,145063,1182,7869,32,1829672,7.928360930265097,21791,742.8571428571429
9/15/20,146214,1151,7875,6,1841498,7.939948889436751,11826,836.4285714285714
9/16/20,146990,776,7903,28,1855121,7.923472377273503,13623,814.2857142857143
9/17/20,147923,933,7913,10,1869198,7.913714865947856,14077,863.7142857142857
9/18/20,148683,760,7934,21,1881488,7.902415534938304,12290,828.2857142857143
9/19/20,149845,1162,7956,22,1896125,7.9026962884830905,14637,862.8571428571429
9/20/20,150578,733,7981,25,1908910,7.8881665453059595,12785,956.7142857142857
9/21/20,150812,234,8004,23,1917993,7.8630109703215805,9083,821.2857142857143
