date,Total COVID Cases,New COVID cases in one day,deaths,new deaths
2020-08-08,73287,1033,3036,13
2020-08-09,74328,1041,3041,5
2020-08-10,74992,664,3044,3
2020-08-11,75862,870,3069,25
2020-08-12,76522,660,3086,17
2020-08-13,77565,1043,3105,19
2020-08-14,78632,1067,3113,8
2020-08-15,79676,1044,3128,15
2020-08-16,80415,739,3133,5
2020-08-17,81006,591,3135,2
2020-08-18,81847,841,3165,30
2020-08-19,82336,489,3180,15
2020-08-20,83277,941,3191,11
2020-08-21,84317,1040,3208,17
2020-08-22,85317,1000,3218,10
2020-08-23,85932,615,3220,2
2020-08-24,87592,1660,3225,5
2020-08-25,88421,829,3241,16
2020-08-26,89359,938,3259,18
2020-08-27,90504,1145,3266,7
2020-08-28,91313,809,3277,11
2020-08-29,92434,1121,3285,8
2020-08-30,93313,879,3291,6
2020-08-31,94196,883,3296,5
2020-09-01,94891,695,3312,16
2020-09-02,95750,859,3325,13
2020-09-03,96854,1104,3332,7
2020-09-04,97884,1030,3350,18
2020-09-05,98961,1077,3362,12
2020-09-06,99804,843,3364,2
2020-09-07,100394,590,3368,4
2020-09-08,100780,386,3380,12
2020-09-09,101485,705,3397,17
2020-09-10,102243,758,3410,13
2020-09-11,103505,1262,3420,10
2020-09-12,104561,1056,3437,17
2020-09-13,105804,1243,3438,1
2020-09-14,106540,736,3439,1
2020-09-15,107229,689,3460,21
2020-09-16,107809,580,3472,12
2020-09-17,108646,837,3478,6
2020-09-18,109683,1037,3495,17
2020-09-19,110759,1076,3503,8
2020-09-20,111505,746,3506,3
2020-09-21,112027,522,3512,6
2020-09-22,112626,599,3520,8
2020-09-23,113337,711,3530,10
2020-09-24,114236,899,3548,18
2020-09-25,115407,1171,3566,18
2020-09-26,116549,1142,3577,11
2020-09-27,117450,901,3580,3
2020-09-28,118322,872,3591,11
2020-09-29,119066,744,3612,21
2020-09-30,120019,953,3632,20
2020-10-01,121176,1157,3645,13
2020-10-02,122640,1464,3656,11
2020-10-03,124059,1419,3669,13
2020-10-04,125146,1087,3674,5
2020-10-05,125976,830,3681,7
2020-10-06,126946,970,3711,30
