,Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
184,7/24,109728,1789,2603,33,2022.571428571429,23.714285714285715
185,7/25,111421,1811,1693,22,1904.142857142857,23.285714285714285
186,7/26,112937,1817,1516,6,1876.2857142857144,23.57142857142857
187,7/27,114916,1838,1979,21,1955.0,23.0
188,7/28,116700,1860,1784,22,1926.2857142857144,22.142857142857146
189,7/29,118387,1888,1687,28,1873.0,22.285714285714285
190,7/30,120532,1922,2145,34,1915.2857142857144,23.714285714285715
191,7/31,122298,1942,1766,20,1795.7142857142858,21.857142857142854
192,8/1,124006,1979,1708,37,1797.857142857143,24.0
193,8/2,125330,1983,1324,4,1770.428571428571,23.714285714285715
194,8/3,127630,2043,2300,60,1816.2857142857144,29.285714285714285
195,8/4,128715,2061,1085,18,1716.428571428571,28.714285714285715
196,8/5,129733,2085,1018,24,1620.857142857143,28.142857142857146
197,8/6,131802,2126,2069,41,1610.0,29.142857142857146
