Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
6/25,57472,1336,945,11,1329.2857142857142,21.142857142857142
6/26,59158,1348,1686,12,1339.0,20.857142857142858
6/27,60812,1353,1654,5,1346.0,19.714285714285715
6/28,62248,1352,1436,0,1349.5714285714287,15.428571428571429
6/29,63736,1357,1488,5,1396.0,11.428571428571429
6/30,65327,1380,1591,23,1526.857142857143,12.142857142857142
7/1,66751,1398,1424,18,1460.5714285714287,10.571428571428571
7/2,68216,1409,1465,11,1534.857142857143,10.571428571428571
7/3,70262,1419,2046,10,1586.2857142857142,10.285714285714286
7/4,71670,1422,1408,3,1551.142857142857,10.0
7/5,72992,1423,1322,1,1534.857142857143,10.142857142857142
7/6,74775,1432,1783,9,1577.0,10.714285714285714
7/7,76290,1446,1515,14,1566.142857142857,9.428571428571429
7/8,77687,1462,1397,16,1562.2857142857142,9.142857142857142
7/9,79656,1477,1969,15,1634.2857142857142,9.714285714285714
7/10,82032,1497,2376,20,1681.4285714285713,11.142857142857142
7/11,83906,1513,1874,16,1748.0,13.0
7/12,85771,1522,1865,9,1825.5714285714287,14.142857142857142
7/13,87669,1529,1898,7,1842.0,13.857142857142858
7/14,90000,1571,2331,42,1958.5714285714287,17.857142857142858
7/15,91837,1589,1837,18,2021.4285714285713,18.142857142857142
7/16,93708,1607,1871,18,2007.4285714285713,18.571428571428573
7/17,95570,1623,1862,16,1934.0,18.0
7/18,98092,1648,2522,25,2026.5714285714287,19.285714285714285
7/19,99803,1652,1711,4,2004.5714285714287,18.571428571428573
7/20,101231,1677,1428,25,1937.4285714285713,21.142857142857142
7/21,103216,1705,1985,28,1888.0,19.142857142857142
7/22,105276,1732,2060,27,1919.857142857143,20.428571428571427
7/23,107125,1756,1849,24,1916.7142857142858,21.285714285714285
7/24,109728,1789,2603,33,2022.5714285714287,23.714285714285715
7/25,111421,1811,1693,22,1904.142857142857,23.285714285714285
7/26,112937,1817,1516,6,1876.2857142857142,23.571428571428573
7/27,114916,1838,1979,21,1955.0,23.0
7/28,116700,1860,1784,22,1926.2857142857142,22.142857142857142
7/29,118387,1888,1687,28,1873.0,22.285714285714285
7/30,120532,1922,2145,34,1915.2857142857142,23.714285714285715
7/31,122298,1942,1766,20,1795.7142857142858,21.857142857142858
8/1,124006,1979,1708,37,1797.857142857143,24.0
8/2,125330,1983,1324,4,1770.4285714285713,23.714285714285715
8/3,127630,2043,2300,60,1816.2857142857142,29.285714285714285
8/4,128715,2061,1085,18,1716.4285714285713,28.714285714285715
8/5,129733,2085,1018,24,1620.857142857143,28.142857142857142
8/6,131802,2126,2069,41,1610.0,29.142857142857142
8/7,133337,2160,1535,34,1577.0,31.142857142857142
8/8,134948,2184,1611,24,1563.142857142857,29.285714285714285
8/9,136346,2192,1398,8,1573.7142857142858,29.857142857142858
8/10,137562,2199,1216,7,1418.857142857143,22.285714285714285
8/11,138743,2238,1181,39,1432.5714285714287,25.285714285714285
8/12,139739,2280,996,42,1429.4285714285713,27.857142857142858
8/13,140824,2287,1085,7,1288.857142857143,23.0
8/14,142170,2313,1346,26,1261.857142857143,21.857142857142858
8/15,143704,2343,1534,30,1250.857142857143,22.714285714285715
8/16,144952,2347,1248,4,1229.4285714285713,22.142857142857142
8/17,145516,2348,564,1,1136.2857142857142,21.285714285714285
8/18,146779,2396,1263,48,1148.0,22.571428571428573
8/19,147925,2431,1146,35,1169.4285714285713,21.571428571428573
8/20,149904,2465,1979,34,1297.142857142857,25.428571428571427
8/21,151910,2494,2006,29,1391.4285714285713,25.857142857142858
8/22,153640,2521,1730,27,1419.4285714285713,25.428571428571427
8/23,155113,2531,1473,10,1451.5714285714287,26.285714285714285
8/24,156396,2535,1283,4,1554.2857142857142,26.714285714285715
8/25,157741,2570,1345,35,1566.0,24.857142857142858
8/26,158985,2606,1244,36,1580.0,25.0
8/27,161076,2630,2091,24,1596.0,23.571428571428573
8/28,162491,2652,1415,22,1511.5714285714287,22.571428571428573
8/29,165076,2683,2585,31,1633.7142857142858,23.142857142857142
8/30,166127,2692,1051,9,1573.4285714285713,23.0
8/31,167309,2702,1182,10,1559.0,23.857142857142858
9/1,169424,2741,2115,39,1669.0,24.428571428571427
9/2,170553,2779,1129,38,1652.5714285714287,24.714285714285715
9/3,172201,2803,1648,24,1589.2857142857142,24.714285714285715
9/4,174253,2839,2052,36,1680.2857142857142,26.714285714285715
9/5,175815,2889,1562,50,1534.142857142857,29.428571428571427
9/6,176901,2890,1086,1,1539.142857142857,28.285714285714285
9/7,177919,2897,1018,7,1515.7142857142858,27.857142857142858
9/8,178635,2909,716,12,1315.857142857143,24.0
9/9,179536,2958,901,49,1283.2857142857142,25.571428571428573
9/10,180754,2990,1218,32,1221.857142857143,26.714285714285715
9/11,182286,3023,1532,33,1147.5714285714287,26.285714285714285
9/12,183738,3047,1452,24,1131.857142857143,22.571428571428573
9/13,184936,3052,1198,5,1147.857142857143,23.142857142857142
9/14,185780,3060,844,8,1123.0,23.285714285714285
9/15,186887,3111,1107,51,1178.857142857143,28.857142857142858
9/16,188024,3149,1137,38,1212.5714285714287,27.285714285714285
9/17,189576,3180,1552,31,1260.2857142857142,27.142857142857142
9/18,190973,3207,1397,27,1241.0,26.285714285714285
9/19,192247,3235,1274,28,1215.5714285714287,26.857142857142858
9/20,193547,3243,1300,8,1230.142857142857,27.285714285714285
9/21,194355,3247,808,4,1225.0,26.714285714285715
9/22,195548,3286,1193,39,1237.2857142857142,25.0
9/23,196500,3316,952,30,1210.857142857143,23.857142857142858
9/24,198187,3356,1687,40,1230.142857142857,25.142857142857142
