Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
5/12/20,41668,1207,1113,31,1108.0,30.285714285714285
5/13/20,43020,1233,1352,26,1156.0,29.714285714285715
5/14/20,44480,1296,1460,63,1206.2857142857142,34.0
5/15/20,45721,1349,1241,53,1210.7142857142858,36.142857142857146
5/16/20,47452,1383,1731,34,1294.0,35.857142857142854
5/17/20,48396,1411,944,28,1305.4285714285713,36.142857142857146
5/18/20,49177,1418,781,7,1231.7142857142858,34.57142857142857
5/19/20,50552,1459,1375,41,1269.142857142857,36.0
5/20/20,51859,1504,1307,45,1262.7142857142858,38.714285714285715
5/21/20,53053,1532,1194,28,1224.7142857142858,33.714285714285715
5/22/20,53539,1545,486,13,1116.857142857143,28.0
5/23/20,54776,1553,1237,8,1046.2857142857142,24.285714285714285
5/24/20,55861,1613,1085,60,1066.4285714285713,28.857142857142858
5/25/20,56409,1623,548,10,1033.142857142857,29.285714285714285
5/26/20,57230,1640,821,17,954.0,25.857142857142858
5/27/20,58542,1680,1312,40,954.7142857142857,25.142857142857142
5/28/20,60395,1715,1853,35,1048.857142857143,26.142857142857142
5/29/20,60901,1723,506,8,1051.7142857142858,25.428571428571427
5/30/20,62894,1769,1993,46,1159.7142857142858,30.857142857142858
5/31/20,64652,1788,1758,19,1255.857142857143,25.0
6/1/20,65593,1797,941,9,1312.0,24.857142857142858
6/2/20,67310,1836,1717,39,1440.0,28.0
6/3/20,68877,1866,1567,30,1476.4285714285713,26.571428571428573
6/4/20,70555,1900,1678,34,1451.4285714285713,26.428571428571427
6/5/20,72548,1936,1993,36,1663.857142857143,30.428571428571427
6/6/20,74470,1957,1922,21,1653.7142857142858,26.857142857142858
6/7/20,75408,1966,938,9,1536.5714285714287,25.428571428571427
6/8/20,76463,1980,1055,14,1552.857142857143,26.142857142857142
6/9/20,78208,2000,1745,20,1556.857142857143,23.428571428571427
6/10/20,80777,2037,2569,37,1700.0,24.428571428571427
6/11/20,82658,2068,1881,31,1729.0,24.0
6/12/20,84927,2100,2269,32,1768.4285714285713,23.428571428571427
6/13/20,86915,2125,1988,25,1777.857142857143,24.0
6/14/20,88523,2147,1608,22,1873.5714285714287,25.857142857142858
6/15/20,90211,2163,1688,16,1964.0,26.142857142857142
6/16/20,93569,2213,3358,50,2194.4285714285716,30.428571428571427
6/17/20,97699,2254,4130,41,2417.4285714285716,31.0
6/18/20,101259,2299,3560,45,2657.285714285714,33.0
6/19/20,105394,2328,4135,29,2923.8571428571427,32.57142857142857
6/20/20,109581,2355,4187,27,3238.0,32.857142857142854
6/21/20,112944,2368,3363,13,3488.714285714286,31.571428571428573
6/22/20,117790,2384,4846,16,3939.8571428571427,31.571428571428573
6/23/20,122932,2421,5142,37,4194.714285714285,29.714285714285715
6/24/20,128132,2462,5200,41,4347.571428571428,29.714285714285715
6/25/20,134558,2514,6426,52,4757.0,30.714285714285715
6/26/20,140173,2558,5615,44,4968.428571428572,32.857142857142854
6/27/20,145894,2603,5721,45,5187.571428571428,35.42857142857143
6/28/20,150722,2628,4828,25,5396.857142857143,37.142857142857146
6/29/20,156706,2655,5984,27,5559.428571428572,38.714285714285715
6/30/20,163060,2708,6354,53,5732.571428571428,41.0
7/1/20,172368,2770,9308,62,6319.428571428572,44.0
7/2/20,179137,2835,6769,65,6368.428571428572,45.857142857142854
7/3/20,186799,2907,7662,72,6660.857142857143,49.857142857142854
7/4/20,193958,2951,7159,44,6866.285714285715,49.714285714285715
7/5/20,197421,3000,3463,49,6671.285714285715,53.142857142857146
7/6/20,205642,3062,8221,62,6990.857142857143,58.142857142857146
7/7/20,216026,3192,10384,130,7566.571428571428,69.14285714285714
7/8/20,224929,3319,8903,127,7508.714285714285,78.42857142857143
7/9/20,236541,3472,11612,153,8200.57142857143,91.0
7/10/20,245920,3556,9379,84,8445.857142857143,92.71428571428571
