Date,Total Cases,Total Deaths,New Cases,New Deaths,New Cases 7 Day Average,New Deaths 7 Day Average
6/25,59437,1336,1620,11,1317.5714285714287,21.142857142857142
6/26,61207,1348,1770,12,1356.7142857142858,20.857142857142858
6/27,62736,1353,1529,5,1389.5714285714287,19.714285714285715
6/28,64069,1352,1333,0,1420.0,15.428571428571429
6/29,65331,1357,1262,5,1453.4285714285713,11.428571428571429
6/30,67226,1380,1895,23,1540.5714285714287,12.142857142857142
7/1,68830,1398,1604,18,1573.2857142857142,10.571428571428571
7/2,70905,1409,2075,11,1638.2857142857142,10.571428571428571
7/3,72368,1419,1463,10,1594.4285714285713,10.285714285714286
7/4,73779,1422,1411,3,1577.5714285714287,10.0
7/5,75216,1423,1437,1,1592.4285714285713,10.142857142857142
7/6,76609,1432,1393,9,1611.142857142857,10.714285714285714
7/7,78207,1446,1598,14,1568.7142857142858,9.428571428571429
7/8,80209,1462,2002,16,1625.5714285714287,9.142857142857142
7/9,82222,1477,2013,15,1616.7142857142858,9.714285714285714
7/10,84493,1497,2271,20,1732.142857142857,11.142857142857142
7/11,86492,1513,1999,16,1816.142857142857,13.0
7/12,88316,1522,1824,9,1871.4285714285713,14.142857142857142
7/13,90397,1529,2081,7,1969.7142857142858,13.857142857142858
7/14,92334,1571,1937,42,2018.142857142857,17.857142857142858
7/15,94365,1589,2031,18,2022.2857142857142,18.142857142857142
7/16,96331,1607,1966,18,2015.5714285714287,18.571428571428573
7/17,98698,1623,2367,16,2029.2857142857142,18.0
7/18,100494,1648,1796,25,2000.2857142857142,19.285714285714285
7/19,101815,1652,1321,4,1928.4285714285713,18.571428571428573
7/20,103730,1677,1915,25,1904.7142857142858,21.142857142857142
7/21,105565,1705,1835,28,1890.142857142857,19.142857142857142
7/22,108017,1732,2452,27,1950.2857142857142,20.428571428571427
7/23,110269,1756,2252,24,1991.142857142857,21.285714285714285
7/24,112320,1789,2051,33,1946.0,23.714285714285715
7/25,114127,1811,1807,22,1947.5714285714287,23.285714285714285
7/26,115718,1817,1591,6,1986.142857142857,23.571428571428573
7/27,117767,1838,2049,21,2005.2857142857142,23.0
7/28,119375,1860,1608,22,1972.857142857143,22.142857142857142
7/29,121739,1888,2364,28,1960.2857142857142,22.285714285714285
7/30,123690,1922,1951,34,1917.2857142857142,23.714285714285715
7/31,125678,1942,1988,20,1908.2857142857142,21.857142857142858
8/1,127080,1979,1402,37,1850.4285714285713,24.0
8/2,128450,1983,1370,4,1818.857142857143,23.714285714285715
8/3,130030,2043,1580,60,1751.857142857143,29.285714285714285
8/4,131257,2061,1227,18,1697.4285714285713,28.714285714285715
8/5,133210,2085,1953,24,1638.7142857142858,28.142857142857142
8/6,135076,2126,1866,41,1626.5714285714287,29.142857142857142
8/7,136862,2160,1786,34,1597.7142857142858,31.142857142857142
8/8,138227,2184,1365,24,1592.4285714285713,29.285714285714285
8/9,139040,2192,813,8,1512.857142857143,29.857142857142858
8/10,140375,2199,1335,7,1477.857142857143,22.285714285714285
8/11,141736,2238,1361,39,1497.0,25.285714285714285
8/12,143513,2280,1777,42,1471.857142857143,27.857142857142858
8/13,145082,2287,1569,7,1429.4285714285713,23.0
8/14,146679,2313,1597,26,1402.4285714285713,21.857142857142858
8/15,148020,2343,1341,30,1399.0,22.714285714285715
8/16,148906,2347,886,4,1409.4285714285713,22.142857142857142
8/17,150163,2348,1257,1,1398.2857142857142,21.285714285714285
8/18,151542,2396,1379,48,1400.857142857143,22.571428571428573
8/19,153591,2431,2049,35,1439.7142857142858,21.571428571428573
8/20,155580,2465,1989,34,1499.7142857142858,25.428571428571427
