,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,Total deaths,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
57,Racine,5/11/2020,3821,724,0,20,2,22,34,55.857142857142854,1.4285714285714286,0.12237871674491392
58,Racine,5/12/2020,4135,763,1,39,314,353,35,35.142857142857146,1.1428571428571428,0.1048146570089476
59,Racine,5/13/2020,4185,785,0,22,50,72,35,34.57142857142857,0.42857142857142855,0.13587871982032565
60,Racine,5/14/2020,4393,833,0,48,208,256,35,34.714285714285715,0.14285714285714285,0.1796008869179601
61,Racine,5/15/2020,4738,920,1,87,345,432,17,40.57142857142857,0.5714285714285714,0.19385665529010238
62,Racine,5/16/2020,4931,1004,0,84,193,277,17,50.42857142857143,0.5714285714285714,0.21303560651780326
63,Racine,5/17/2020,5094,1017,0,13,163,176,17,48.42857142857143,0.5714285714285714,0.19360365505425473
64,Racine,5/18/2020,5179,1034,0,17,85,102,17,47.714285714285715,0.42857142857142855,0.18902093944538767
65,Racine,5/19/2020,5463,1061,1,27,284,311,18,40.42857142857143,0.42857142857142855,0.17843631778058008
66,Racine,5/20/2020,5883,1115,1,54,420,474,19,44.714285714285715,0.5714285714285714,0.15720743345052737
67,Racine,5/21/2020,6236,1166,0,51,353,404,19,47.57142857142857,0.42857142857142855,0.15303308823529413
68,Racine,5/22/2020,6924,1269,2,103,688,791,21,49.857142857142854,0.5714285714285714,0.13767258382642997
69,Racine,5/23/2020,7192,1311,0,42,268,310,21,43.857142857142854,0.5714285714285714,0.11954828660436137
70,Racine,5/24/2020,7801,1387,0,76,609,685,21,52.857142857142854,0.5714285714285714,0.12024699382515437
71,Racine,5/25/2020,8059,1394,3,7,258,265,24,51.42857142857143,1.0,0.11111111111111112
72,Racine,5/26/2020,8331,1395,0,1,272,273,24,47.714285714285715,0.8571428571428571,0.10430980637101811
73,Racine,5/27/2020,9348,1579,3,184,1017,1201,27,66.28571428571429,1.1428571428571428,0.11809620768643421
74,Racine,5/28/2020,9960,1605,5,26,612,638,32,62.714285714285715,1.8571428571428572,0.10545279846264714
75,Racine,5/29/2020,10597,1652,2,47,637,684,34,54.714285714285715,1.8571428571428572,0.09442800788954635
76,Racine,5/30/2020,10934,1714,1,62,337,399,54,20.0,1.1428571428571428,0.04326328800988875
77,Racine,5/31/2020,11282,1722,1,8,348,356,55,17.142857142857142,0.7142857142857143,0.05110732538330494
78,Racine,6/1/2020,11297,1733,3,11,15,26,4,,,
79,Racine,6/2/2020,11729,1762,1,29,432,461,5,,,
80,Racine,6/3/2020,13106,1797,0,35,1377,1412,5,13.857142857142858,0.7142857142857143,0.03402314977200982
81,Racine,6/4/2020,13664,1838,3,41,558,599,8,19.714285714285715,1.1428571428571428,0.04
82,Racine,6/5/2020,14182,1878,2,40,518,558,10,25.428571428571427,1.4285714285714286,0.04441117764471058
83,Racine,6/6/2020,14806,1906,1,28,624,652,46,12.285714285714286,0.42857142857142855,0.07889908256880734
84,Racine,6/7/2020,15475,1910,0,4,669,673,46,11.857142857142858,0.42857142857142855,0.04925816023738872
85,Racine,6/8/2020,15480,1911,0,1,5,6,46,11.428571428571429,0.2857142857142857,0.04833836858006043
86,Racine,6/9/2020,16696,1939,4,28,1216,1244,50,14.571428571428571,0.7142857142857143,0.035515320334261836
87,Racine,6/10/2020,17007,1952,0,13,311,324,50,14.857142857142858,0.7142857142857143,0.033799155021124475
88,Racine,6/11/2020,17408,1966,0,14,401,415,50,15.0,0.7142857142857143,0.03071971913399649
89,Racine,6/12/2020,17703,1975,1,9,295,304,51,13.857142857142858,0.8571428571428571,0.026810392482034272
90,Racine,6/13/2020,18017,1986,2,11,314,325,53,11.428571428571429,1.0,0.024308720753570344
91,Racine,6/14/2020,18239,1989,0,3,222,225,53,11.285714285714286,1.0,0.027787548364403798
92,Racine,6/15/2020,18336,1991,0,2,97,99,55,15.571428571428571,0.7142857142857143,0.05134243994347621
93,Racine,6/16/2020,19120,2033,1,42,784,826,56,19.571428571428573,0.8571428571428571,0.054064719810576166
94,Racine,6/17/2020,19380,2039,1,6,260,266,59,12.857142857142858,0.5714285714285714,0.03862660944206009
95,Racine,6/18/2020,19770,2053,0,14,390,404,59,8.857142857142858,0.42857142857142855,0.032494758909853254
96,Racine,6/19/2020,20616,2066,1,13,846,859,60,10.571428571428571,0.5714285714285714,0.02678248280854144
97,Racine,6/20/2020,21056,2079,1,13,440,453,1,,,
98,Racine,6/21/2020,21212,2081,0,2,156,158,60,7.857142857142857,0.5714285714285714,0.019978205593897565
99,Racine,6/22/2020,21702,2090,0,9,490,499,0,,,
100,Racine,6/23/2020,22944,2107,2,17,1242,1259,63,11.857142857142858,0.5714285714285714,0.021195097037793667
101,Racine,6/24/2020,23409,2114,1,7,465,472,61,10.285714285714286,0.42857142857142855,0.024632227163872738
102,Racine,6/25/2020,23801,2124,0,10,392,402,60,9.0,0.5714285714285714,0.019949335022165927
103,Racine,6/26/2020,24143,2144,0,20,342,362,60,10.857142857142858,0.42857142857142855,0.02378716744913928
104,Racine,6/27/2020,24363,2148,0,4,220,224,63,10.428571428571429,0.5714285714285714,0.01953961456102784
105,Racine,6/28/2020,24530,2151,0,3,167,170,63,9.0,0.42857142857142855,0.020676074827699377
106,Racine,6/29/2020,24939,2155,0,4,409,413,63,9.285714285714286,0.42857142857142855,0.01968503937007874
107,Racine,6/30/2020,25716,2171,2,16,777,793,65,10.142857142857142,0.7142857142857143,0.019225561873815324
108,Racine,7/1/2020,26250,2176,0,5,534,539,65,8.0,0.7142857142857143,0.014470284237726097
109,Racine,7/2/2020,26983,2187,1,11,733,744,58,12.285714285714286,0.42857142857142855,0.039759593157651416
110,Racine,7/3/2020,27301,2194,1,7,318,325,57,11.857142857142858,0.42857142857142855,0.04676056338028169
111,Racine,7/4/2020,27296,2196,0,2,-5,-3,56,19.714285714285715,0.42857142857142855,0.0746349378042185
112,Racine,7/5/2020,27443,2217,0,21,147,168,56,19.857142857142858,0.42857142857142855,0.06692344727973037
113,Racine,7/6/2020,27446,2218,0,1,3,4,56,18.428571428571427,0.7142857142857143,0.0577439570277529
114,Racine,7/7/2020,28773,2253,0,35,1327,1362,65,21.571428571428573,0.2857142857142857,0.031445231153685964
115,Racine,7/8/2020,29236,2272,0,19,463,482,65,17.142857142857142,0.2857142857142857,0.031144562678432387
116,Racine,7/9/2020,29625,2294,0,22,389,411,65,14.857142857142858,0.2857142857142857,0.029370234397062978
117,Racine,7/10/2020,29928,2306,0,12,303,315,65,12.285714285714286,0.2857142857142857,0.02564102564102564
118,Racine,7/11/2020,30612,2326,0,20,684,704,65,22.857142857142858,0.0,0.03759398496240601
119,Racine,7/12/2020,30723,2339,0,13,111,124,65,18.714285714285715,0.0,0.03764367816091954
120,Racine,7/13/2020,30795,2349,0,10,72,82,65,20.714285714285715,0.0,0.0354436568076265
121,Racine,7/14/2020,31653,2391,0,42,858,900,65,13.0,0.5714285714285714,0.021172638436482084
122,Racine,7/15/2020,32119,2418,0,27,466,493,66,29.428571428571427,0.14285714285714285,0.05183694011071968
123,Racine,7/16/2020,32809,2463,1,45,690,735,66,28.285714285714285,0.14285714285714285,0.04996214988644966
124,Racine,7/17/2020,33227,2519,0,56,418,474,65,25.0,0.0,0.04809013465237703
125,Racine,7/18/2020,33928,2564,0,45,701,746,66,33.0,0.14285714285714285,0.06668591224018476
126,Racine,7/19/2020,34091,2589,0,25,163,188,66,28.0,0.14285714285714285,0.07
127,Racine,7/20/2020,34091,2624,0,35,0,35,66,35.142857142857146,0.14285714285714285,0.08801431127012524
128,Racine,7/21/2020,35010,2715,3,91,919,1010,69,46.285714285714285,0.5714285714285714,0.08801955990220048
129,Racine,7/22/2020,36069,2739,0,24,1059,1083,69,41.714285714285715,0.5714285714285714,0.06806526806526807
