,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
74,Racine,5/28/2020,9960,1605,5,26,612,638,62.714285714285715,1.8571428571428572,0.10545279846264714
75,Racine,5/29/2020,10597,1652,2,47,637,684,54.714285714285715,1.8571428571428572,0.09442800788954635
76,Racine,5/30/2020,10934,1714,1,62,337,399,57.57142857142857,2.0,0.09722557297949337
77,Racine,5/31/2020,11282,1722,1,8,348,356,47.857142857142854,2.142857142857143,0.08778825995807128
78,Racine,6/1/2020,11297,1733,3,11,15,26,48.42857142857143,2.142857142857143,0.09477215543751748
79,Racine,6/2/2020,11729,1762,1,29,432,461,52.42857142857143,2.2857142857142856,0.09747675962815405
80,Racine,6/3/2020,13106,1797,0,35,1377,1412,31.142857142857142,1.8571428571428572,0.05482897384305835
81,Racine,6/4/2020,13664,1838,3,41,558,599,33.285714285714285,1.5714285714285714,0.05918211836423672
82,Racine,6/5/2020,14182,1878,2,40,518,558,32.285714285714285,1.5714285714285714,0.059302020467069005
83,Racine,6/6/2020,14806,1906,1,28,624,652,27.428571428571427,1.5714285714285714,0.047244094488188976
84,Racine,6/7/2020,15475,1910,0,4,669,673,26.857142857142858,1.4285714285714286,0.042912577037206114
85,Racine,6/8/2020,15480,1911,0,1,5,6,25.428571428571427,1.0,0.04081632653061224
86,Racine,6/9/2020,16696,1939,4,28,1216,1244,25.285714285714285,1.4285714285714286,0.03440902021772939
87,Racine,6/10/2020,17007,1952,0,13,311,324,22.142857142857142,1.4285714285714286,0.03821499013806706
88,Racine,6/11/2020,17408,1966,0,14,401,415,18.285714285714285,1.0,0.03305785123966942
89,Racine,6/12/2020,17703,1975,1,9,295,304,13.857142857142858,0.8571428571428571,0.026810392482034272
90,Racine,6/13/2020,18017,1986,2,11,314,325,11.428571428571429,1.0,0.024308720753570344
91,Racine,6/14/2020,18239,1989,0,3,222,225,11.285714285714286,1.0,0.027787548364403798
92,Racine,6/15/2020,18336,1991,0,2,97,99,11.428571428571429,1.0,0.027247956403269755
93,Racine,6/16/2020,19120,2033,1,42,784,826,13.428571428571429,0.5714285714285714,0.03733121525019857
94,Racine,6/17/2020,19380,2039,1,6,260,266,12.428571428571429,0.7142857142857143,0.03536585365853658
