specimen_collection_date,pos,tests,Positive tests rate,Total tests,7 day average rate,Data Reliability
2020-06-21,38.0,1279.0,2.9710711493354185,1279.0,2.019741449394223,More reliable
2020-06-22,118.0,3434.0,3.43622597553873,3434.0,2.3456492762648304,More reliable
2020-06-23,85.0,3555.0,2.390998593530239,3555.0,2.4231148616551046,More reliable
2020-06-24,74.0,3893.0,1.9008476753146673,3893.0,2.4384185334008897,More reliable
2020-06-25,84.0,3958.0,2.1222839818089945,3958.0,2.54940088748301,More reliable
2020-06-26,79.0,3897.0,2.027200410572235,3897.0,2.6080443659732566,More reliable
2020-06-27,60.0,2129.0,2.8182245185533117,2129.0,2.5238360435219422,More reliable
2020-06-28,41.0,2019.0,2.0307082714214957,2019.0,2.389498489534239,More reliable
2020-06-29,90.0,3898.0,2.308876346844536,3898.0,2.2284485425779255,More reliable
2020-06-30,106.0,4148.0,2.5554484088717455,4148.0,2.251941373340998,More reliable
2020-07-01,99.0,3868.0,2.559462254395036,3868.0,2.346029170352479,More reliable
2020-07-02,125.0,4170.0,2.997601918465228,4170.0,2.4710745898747986,More reliable
2020-07-03,114.0,2692.0,4.234769687964339,2692.0,2.786441629502242,More reliable
2020-07-04,29.0,732.0,3.9617486338797816,732.0,2.949802217406023,More reliable
2020-07-05,61.0,1861.0,3.277807630306287,1861.0,3.127959268675279,More reliable
2020-07-06,108.0,4363.0,2.475360990144396,4363.0,3.1517427891466876,More reliable
2020-07-07,111.0,4543.0,2.4433193924719347,4543.0,3.1357243582324292,More reliable
2020-07-08,143.0,4442.0,3.219270598829356,4442.0,3.229982693151618,More reliable
2020-07-09,134.0,4394.0,3.0496131087847065,4394.0,3.2374128631972576,More reliable
2020-07-10,153.0,4443.0,3.443619176232275,4443.0,3.124391361521248,More reliable
2020-07-11,75.0,2398.0,3.1276063386155126,2398.0,3.0052281764834956,More reliable
2020-07-12,79.0,2124.0,3.71939736346516,2124.0,3.0683124240776203,More reliable
2020-07-13,169.0,4964.0,3.4045124899274777,4964.0,3.20104835261806,More reliable
2020-07-14,184.0,5297.0,3.473664338304701,5297.0,3.348240487737027,More reliable
2020-07-15,177.0,4941.0,3.5822707953855497,4941.0,3.400097658673626,More reliable
2020-07-16,180.0,5451.0,3.3021463951568517,5451.0,3.4361738424410757,More reliable
2020-07-17,186.0,4195.0,4.433849821215733,4195.0,3.5776353631529987,More reliable
2020-07-18,97.0,2393.0,4.053489343919766,2393.0,3.709904363910749,More reliable
2020-07-19,92.0,1832.0,5.021834061135371,1832.0,3.8959667492922074,More reliable
2020-07-20,183.0,5028.0,3.639618138424821,5028.0,3.9295532705061142,More reliable
2020-07-21,156.0,4968.0,3.140096618357488,4968.0,3.8819007390850833,More reliable
2020-07-22,151.0,4679.0,3.2271852960034195,4679.0,3.8311742391733503,More reliable
2020-07-23,165.0,4537.0,3.636764381750055,4537.0,3.878976808686665,More reliable
2020-07-24,149.0,4305.0,3.46109175377468,4305.0,3.7400113704808002,More reliable
2020-07-25,109.0,2397.0,4.547350855235711,2397.0,3.8105630149545067,More reliable
