,specimen_collection_date,pct,tests,Positive tests rate,Total tests,7 day average rate,Data Reliability
35,2020-04-04,0.12345679012345677,162.0,12.345679012345677,162.0,14.198345478436105,More reliable
36,2020-04-05,0.1712962962962963,216.0,17.12962962962963,216.0,14.674992075772355,More reliable
37,2020-04-06,0.15656565656565655,397.0,15.656565656565654,397.0,14.66606380597452,More reliable
38,2020-04-07,0.13569937369519833,479.0,13.569937369519833,479.0,13.803505839155223,More reliable
39,2020-04-08,0.1391304347826087,460.0,13.91304347826087,460.0,13.690243142772326,More reliable
40,2020-04-09,0.147008547008547,586.0,14.700854700854702,586.0,13.888551885972708,More reliable
41,2020-04-10,0.08014571948998178,549.0,8.014571948998178,549.0,13.618611685167794,More reliable
42,2020-04-11,0.17857142857142858,308.0,17.857142857142858,308.0,14.40596366299596,More reliable
43,2020-04-12,0.16145833333333334,192.0,16.145833333333336,192.0,14.265421334953633,More reliable
44,2020-04-13,0.09327548806941433,462.0,9.327548806941433,462.0,13.361276070721603,More reliable
45,2020-04-14,0.11231884057971014,552.0,11.231884057971014,552.0,13.027268454786057,More reliable
46,2020-04-15,0.13671875,512.0,13.671875,512.0,12.992815815034502,More reliable
47,2020-04-16,0.12028725314183125,557.0,12.028725314183125,557.0,12.611083045509991,More reliable
48,2020-04-17,0.10787671232876712,585.0,10.787671232876713,585.0,13.00724008606407,More reliable
49,2020-04-18,0.07664233576642336,275.0,7.664233576642336,275.0,11.551110188849707,More reliable
50,2020-04-19,0.15625,288.0,15.625,288.0,11.476705426944946,More reliable
51,2020-04-20,0.09667673716012083,662.0,9.667673716012084,662.0,11.525294699669326,More reliable
52,2020-04-21,0.08186195826645265,623.0,8.186195826645266,623.0,11.090196380908504,More reliable
53,2020-04-22,0.0544069640914037,920.0,5.44069640914037,920.0,9.914313725071413,More reliable
54,2020-04-23,0.05281385281385281,1159.0,5.2813852813852815,1159.0,8.950408006100293,More reliable
55,2020-04-24,0.05279034690799397,1328.0,5.279034690799397,1328.0,8.163459928660677,More reliable
56,2020-04-25,0.02864864864864865,1850.0,2.864864864864865,1850.0,7.477835826978181,More reliable
57,2020-04-26,0.02651779483600837,1434.0,2.651779483600837,1434.0,5.624518610349729,More reliable
58,2020-04-27,0.035862785862785865,1926.0,3.5862785862785866,1926.0,4.755747877530657,More reliable
59,2020-04-28,0.031647746818025464,2915.0,3.1647746818025464,2915.0,4.038401999695983,More reliable
60,2020-04-29,0.07256894049346879,1387.0,7.256894049346879,1387.0,4.297858805439771,More reliable
61,2020-04-30,0.04362139917695474,1215.0,4.362139917695474,1215.0,4.16653803919837,More reliable
62,2020-05-01,0.036568213783403664,1423.0,3.6568213783403665,1423.0,3.934793280275651,More reliable
63,2020-05-02,0.05729166666666665,961.0,5.729166666666665,961.0,4.343979251961622,More reliable
64,2020-05-03,0.05128205128205128,429.0,5.128205128205128,429.0,4.697754344047949,More reliable
65,2020-05-04,0.0592396109637489,1132.0,5.92396109637489,1132.0,5.031708988347421,More reliable
66,2020-05-05,0.04595997034840623,1350.0,4.595997034840623,1350.0,5.236169324495718,More reliable
67,2020-05-06,0.03300970873786408,1546.0,3.300970873786408,1546.0,4.671037442272793,More reliable
68,2020-05-07,0.023337222870478413,1714.0,2.3337222870478413,1714.0,4.381263495037418,More reliable
69,2020-05-08,0.022805017103762832,1760.0,2.2805017103762832,1760.0,4.184646399613976,More reliable
70,2020-05-09,0.019953051643192492,857.0,1.9953051643192492,857.0,3.6512376135643456,More reliable
71,2020-05-10,0.021897810218978103,551.0,2.18978102189781,551.0,3.2314627412347297,More reliable
72,2020-05-11,0.025740025740025742,1557.0,2.574002574002574,1557.0,2.7528972380386842,More reliable
73,2020-05-12,0.038140643623361135,1681.0,3.8140643623361137,1681.0,2.6411925705380397,More reliable
74,2020-05-13,0.03118908382066277,1541.0,3.118908382066277,1541.0,2.6151836431494497,More reliable
75,2020-05-14,0.024293785310734464,1771.0,2.4293785310734464,1771.0,2.6288488208673932,More reliable
76,2020-05-15,0.029797377830750895,1679.0,2.9797377830750893,1679.0,2.728739688395794,More reliable
77,2020-05-16,0.013496932515337423,815.0,1.3496932515337423,815.0,2.636509415140722,More reliable
78,2020-05-17,0.03255813953488372,433.0,3.255813953488372,433.0,2.788799833939373,More reliable
79,2020-05-18,0.030303030303030307,2001.0,3.0303030303030307,2001.0,2.853985613410867,More reliable
80,2020-05-19,0.029761904761904764,1691.0,2.9761904761904763,1691.0,2.7342893439614904,More reliable
81,2020-05-20,0.0255741127348643,1923.0,2.55741127348643,1923.0,2.6540754713072268,More reliable
82,2020-05-21,0.014899957428693059,2352.0,1.4899957428693058,2352.0,2.5198779301352063,More reliable
83,2020-05-22,0.018313458262350937,2350.0,1.8313458262350937,2350.0,2.3558219363009214,More reliable
84,2020-05-23,0.017336485421591802,1270.0,1.7336485421591803,1270.0,2.410672692104556,More reliable
85,2020-05-24,0.0136986301369863,810.0,1.36986301369863,810.0,2.1412511292774496,More reliable
86,2020-05-25,0.019174041297935103,682.0,1.9174041297935103,682.0,1.9822655720618039,More reliable
87,2020-05-26,0.02687673772011121,2166.0,2.687673772011121,2166.0,1.9410489000361817,More reliable
88,2020-05-27,0.020871985157699443,2161.0,2.0871985157699444,2161.0,1.8738756489338269,More reliable
89,2020-05-28,0.014109347442680775,2277.0,1.4109347442680775,2277.0,1.8625812205622225,More reliable
90,2020-05-29,0.017310789049919485,2491.0,1.7310789049919486,2491.0,1.8482573746703446,More reliable
91,2020-05-30,0.018273471959672338,1594.0,1.8273471959672338,1594.0,1.8616428966429235,More reliable
92,2020-05-31,0.021216407355021217,1425.0,2.1216407355021216,1425.0,1.9690397140434222,More reliable
93,2020-06-01,0.01709741550695825,2523.0,1.7097415506958251,2523.0,1.9393736313151813,More reliable
94,2020-06-02,0.021152443471918303,2750.0,2.1152443471918305,2750.0,1.8575979991981402,More reliable
95,2020-06-03,0.016911437472185136,2255.0,1.6911437472185136,2255.0,1.8010187465479357,More reliable
96,2020-06-04,0.01940962393853619,2482.0,1.9409623938536191,2482.0,1.876736982203013,More reliable
97,2020-06-05,0.014811849479583666,2500.0,1.4811849479583667,2500.0,1.84103784548393,More reliable
98,2020-06-06,0.01141304347826087,1841.0,1.141304347826087,1841.0,1.743031724320909,More reliable
99,2020-06-07,0.012266666666666669,1881.0,1.2266666666666668,1881.0,1.615178285915844,More reliable
100,2020-06-08,0.01243781094527363,3219.0,1.243781094527363,3219.0,1.5486125064632066,More reliable
101,2020-06-09,0.012285714285714285,3511.0,1.2285714285714284,3511.0,1.421944946660292,More reliable
102,2020-06-10,0.005998000666444518,3013.0,0.5998000666444518,3013.0,1.2660387065782832,More reliable
103,2020-06-11,0.009053738317757009,3429.0,0.9053738317757009,3429.0,1.118097483424295,More reliable
104,2020-06-12,0.01181959564541213,3226.0,1.181959564541213,3226.0,1.0753510000789872,More reliable
