,specimen_collection_date,pct,tests,Positive tests rate,Total tests,7 day average rate
53,2020-04-22,0.0544069640914037,920.0,5.44069640914037,920.0,9.961007710617935
54,2020-04-23,0.0527681660899654,1160.0,5.2768166089965405,1160.0,8.999528874934388
55,2020-04-24,0.05275056518462698,1329.0,5.275056518462698,1329.0,8.217272200097515
56,2020-04-25,0.02863317125877904,1851.0,2.863317125877904,1851.0,7.531426992845454
57,2020-04-26,0.02651779483600837,1434.0,2.651779483600837,1434.0,5.678109776217001
58,2020-04-27,0.035844155844155845,1927.0,3.5844155844155843,1927.0,4.809072900274644
59,2020-04-28,0.031647746818025464,2915.0,3.1647746818025464,2915.0,4.0366937731852115
60,2020-04-29,0.0723589001447178,1391.0,7.23589001447178,1391.0,4.293150002518269
61,2020-04-30,0.04196357878068092,1263.0,4.196357878068092,1263.0,4.138798755242777
62,2020-05-01,0.03561643835616438,1461.0,3.5616438356164384,1461.0,3.894025514836169
63,2020-05-02,0.05675954592363261,970.0,5.675954592363261,970.0,4.29583086719122
64,2020-05-03,0.049773755656108594,442.0,4.97737556561086,442.0,4.628058878906937
65,2020-05-04,0.05403225806451613,1241.0,5.403225806451613,1241.0,4.88788891062637
66,2020-05-05,0.04558823529411765,1361.0,4.558823529411765,1361.0,5.0870387459991155
67,2020-05-06,0.032882011605415866,1552.0,3.2882011605415866,1552.0,4.523083195437659
68,2020-05-07,0.0228310502283105,1752.0,2.28310502283105,1752.0,4.249761358975225
69,2020-05-08,0.02228412256267409,1801.0,2.228412256267409,1801.0,4.059299704782506
70,2020-05-09,0.019836639439906645,862.0,1.9836639439906645,862.0,3.5318296121578494
71,2020-05-10,0.021621621621621626,558.0,2.1621621621621627,558.0,3.129656268808035
72,2020-05-11,0.025412960609911054,1577.0,2.5412960609911055,1577.0,2.7208091623136776
73,2020-05-12,0.03752233472304944,1682.0,3.7522334723049435,1682.0,2.6055820112984174
74,2020-05-13,0.031088082901554407,1546.0,3.108808290155441,1546.0,2.579954458386111
75,2020-05-14,0.02417088251826869,1780.0,2.417088251826869,1780.0,2.5990949196712276
76,2020-05-15,0.02977963073257892,1680.0,2.977963073257892,1680.0,2.7061736078127256
77,2020-05-16,0.013496932515337423,815.0,1.3496932515337423,815.0,2.615606366033165
78,2020-05-17,0.03263403263403263,429.0,3.263403263403263,429.0,2.7729265233533225
79,2020-05-18,0.03033367037411527,1979.0,3.033367037411527,1979.0,2.843222377127668
80,2020-05-19,0.029131985731272295,1684.0,2.9131985731272296,1684.0,2.723360248673709
81,2020-05-20,0.025587467362924284,1916.0,2.5587467362924285,1916.0,2.6447800266932786
82,2020-05-21,0.014912654452492544,2348.0,1.4912654452492544,2348.0,2.5125196257536193
83,2020-05-22,0.01832126118449084,2349.0,1.832126118449084,2349.0,2.348828632209504
84,2020-05-23,0.01732283464566929,1271.0,1.7322834645669292,1271.0,2.4034843769285312
85,2020-05-24,0.013681592039800995,806.0,1.3681592039800996,806.0,2.1327352255823646
86,2020-05-25,0.01914580265095729,679.0,1.914580265095729,679.0,1.972908543822965
87,2020-05-26,0.026901669758812616,2157.0,2.6901669758812616,2157.0,1.9410468870735407
88,2020-05-27,0.020910780669144983,2153.0,2.0910780669144984,2153.0,1.8742370771624082
89,2020-05-28,0.01413427561837456,2264.0,1.4134275618374559,2264.0,1.863117379532151
90,2020-05-29,0.017331721080209594,2488.0,1.7331721080209594,2488.0,1.8489810923281331
91,2020-05-30,0.01828499369482976,1588.0,1.8284993694829759,1588.0,1.862726221601854
92,2020-05-31,0.021261516654854717,1412.0,2.1261516654854717,1412.0,1.9710108589597646
93,2020-06-01,0.017111022682053324,2514.0,1.7111022682053323,2514.0,1.941942573689708
94,2020-06-02,0.02120658135283364,2736.0,2.1206581352833638,2736.0,1.8605841678900084
95,2020-06-03,0.016896398399288574,2250.0,1.6896398399288575,2250.0,1.803235849749202
96,2020-06-04,0.019393939393939397,2477.0,1.9393939393939397,2477.0,1.8783739036858427
97,2020-06-05,0.014817781337605128,2499.0,1.481778133760513,2499.0,1.842460478791493
98,2020-06-06,0.011400651465798044,1842.0,1.1400651465798044,1842.0,1.7441127326624688
99,2020-06-07,0.012253596164091636,1877.0,1.2253596164091636,1877.0,1.6154281542229962
100,2020-06-08,0.01243781094527363,3216.0,1.243781094527363,3216.0,1.5486679865547148
101,2020-06-09,0.012306811677160849,3494.0,1.230681167716085,3494.0,1.4215284197593896
102,2020-06-10,0.00600400266844563,2998.0,0.600400266844563,2998.0,1.265922766461633
103,2020-06-11,0.00904581266413773,3428.0,0.9045812664137729,3428.0,1.1180923846073236
104,2020-06-12,0.011479987589202606,3233.0,1.1479987589202605,3233.0,1.0704096167730017
105,2020-06-13,0.012547735951991271,1833.0,1.2547735951991272,1833.0,1.0867965380043336
106,2020-06-14,0.0114247311827957,1488.0,1.14247311827957,1488.0,1.074955609700106
107,2020-06-15,0.011548711874444771,3377.0,1.1548711874444773,3377.0,1.0622541944025508
108,2020-06-16,0.01858736059479554,2960.0,1.858736059479554,2960.0,1.151976321797332
109,2020-06-17,0.017982579376229282,3559.0,1.7982579376229282,3559.0,1.3230988461942415
110,2020-06-18,0.012960082944530844,3859.0,1.2960082944530844,3859.0,1.3790169930570002
111,2020-06-19,0.015943312666076175,3387.0,1.5943312666076175,3387.0,1.4427787798694798
112,2020-06-20,0.03366583541147132,1604.0,3.366583541147132,1604.0,1.744465915004909
113,2020-06-21,0.030039525691699605,1265.0,3.0039525691699605,1265.0,2.010391550846393
114,2020-06-22,0.03364540667056758,3422.0,3.364540667056758,3422.0,2.326058619362434
115,2020-06-23,0.0244457077885162,3541.0,2.44457077885162,3541.0,2.4097492935584435
116,2020-06-24,0.01878538342768914,3886.0,1.878538342768914,3886.0,2.4212179228650124
117,2020-06-25,0.02103395843892549,3946.0,2.103395843892549,3946.0,2.536559001356365
118,2020-06-26,0.020298047276464545,3894.0,2.0298047276464546,3894.0,2.598769495790484
119,2020-06-27,0.02746212121212121,2112.0,2.7462121212121207,2112.0,2.5101450072283398
120,2020-06-28,0.0205,2000.0,2.0500000000000003,2000.0,2.3738660687754884
121,2020-06-29,0.02336448598130841,3863.0,2.336448598130841,3863.0,2.2269957732146435
122,2020-06-30,0.02594568380213385,4126.0,2.594568380213385,4126.0,2.2484240019806094
123,2020-07-01,0.02551418901327779,3842.0,2.551418901327779,3842.0,2.3445497960604476
124,2020-07-02,0.03073967339097022,4164.0,3.073967339097022,4164.0,2.483202866803943
125,2020-07-03,0.0411214953271028,2676.0,4.11214953271028,2676.0,2.780680696098775
126,2020-07-04,0.04005524861878453,724.0,4.005524861878453,724.0,2.960582516193966
127,2020-07-05,0.03259098316132537,1841.0,3.259098316132537,1841.0,3.1333108470700424
128,2020-07-06,0.024919243193354867,4334.0,2.491924319335487,4334.0,3.1555216643849917
129,2020-07-07,0.02478231748158071,4484.0,2.478231748158071,4484.0,3.138902145519947
130,2020-07-08,0.03191974464204286,4386.0,3.191974464204286,4386.0,3.230410083073734
131,2020-07-09,0.030436802973977693,4305.0,3.0436802973977692,4305.0,3.2260833628309835
132,2020-07-10,0.034224097515236765,4267.0,3.4224097515236767,4267.0,3.1275491083757543
133,2020-07-11,0.030251384746484877,2348.0,3.0251384746484877,2348.0,2.987493910200045
