,Unnamed: 0,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
114,114,2020-04-14T00:00:00.000,Confirmed,From Contact,18,2020-09-13T14:19:34.977
115,115,2020-04-15T00:00:00.000,Confirmed,From Contact,11,2020-09-13T14:19:34.977
116,116,2020-04-15T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
117,117,2020-04-15T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
118,118,2020-04-15T00:00:00.000,Confirmed,Community,40,2020-09-13T14:19:34.977
119,119,2020-04-16T00:00:00.000,Confirmed,Community,23,2020-09-13T14:19:34.977
120,120,2020-04-16T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
121,121,2020-04-16T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
122,122,2020-04-17T00:00:00.000,Confirmed,From Contact,16,2020-09-13T14:19:34.977
123,123,2020-04-17T00:00:00.000,Confirmed,Community,28,2020-09-13T14:19:34.977
124,124,2020-04-18T00:00:00.000,Confirmed,Community,9,2020-09-13T14:19:34.977
125,125,2020-04-18T00:00:00.000,Confirmed,From Contact,5,2020-09-13T14:19:34.977
126,126,2020-04-18T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
127,127,2020-04-19T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
128,128,2020-04-19T00:00:00.000,Confirmed,From Contact,5,2020-09-13T14:19:34.977
129,129,2020-04-19T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
130,130,2020-04-19T00:00:00.000,Confirmed,Community,26,2020-09-13T14:19:34.977
131,131,2020-04-20T00:00:00.000,Confirmed,Community,26,2020-09-13T14:19:34.977
132,132,2020-04-20T00:00:00.000,Confirmed,From Contact,12,2020-09-13T14:19:34.977
133,133,2020-04-20T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
134,134,2020-04-21T00:00:00.000,Confirmed,Community,14,2020-09-13T14:19:34.977
135,135,2020-04-21T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
136,136,2020-04-21T00:00:00.000,Confirmed,From Contact,15,2020-09-13T14:19:34.977
137,137,2020-04-22T00:00:00.000,Confirmed,From Contact,12,2020-09-13T14:19:34.977
138,138,2020-04-22T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
139,139,2020-04-22T00:00:00.000,Confirmed,Community,20,2020-09-13T14:19:34.977
140,140,2020-04-23T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
141,141,2020-04-23T00:00:00.000,Confirmed,From Contact,14,2020-09-13T14:19:34.977
142,142,2020-04-23T00:00:00.000,Confirmed,Community,32,2020-09-13T14:19:34.977
143,143,2020-04-24T00:00:00.000,Confirmed,From Contact,20,2020-09-13T14:19:34.977
144,144,2020-04-24T00:00:00.000,Confirmed,Community,16,2020-09-13T14:19:34.977
145,145,2020-04-25T00:00:00.000,Confirmed,Community,34,2020-09-13T14:19:34.977
146,146,2020-04-25T00:00:00.000,Confirmed,From Contact,18,2020-09-13T14:19:34.977
147,147,2020-04-25T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
148,148,2020-04-26T00:00:00.000,Confirmed,From Contact,9,2020-09-13T14:19:34.977
149,149,2020-04-26T00:00:00.000,Confirmed,Community,22,2020-09-13T14:19:34.977
150,150,2020-04-26T00:00:00.000,Confirmed,Unknown,1,2020-09-13T14:19:34.977
151,151,2020-04-27T00:00:00.000,Confirmed,From Contact,12,2020-09-13T14:19:34.977
152,152,2020-04-27T00:00:00.000,Confirmed,Community,24,2020-09-13T14:19:34.977
153,153,2020-04-28T00:00:00.000,Death,From Contact,1,2020-09-13T14:19:34.977
154,154,2020-04-28T00:00:00.000,Confirmed,Community,46,2020-09-13T14:19:34.977
155,155,2020-04-28T00:00:00.000,Confirmed,From Contact,26,2020-09-13T14:19:34.977
156,156,2020-04-29T00:00:00.000,Death,Community,1,2020-09-13T14:19:34.977
157,157,2020-04-29T00:00:00.000,Confirmed,From Contact,22,2020-09-13T14:19:34.977
158,158,2020-04-29T00:00:00.000,Death,From Contact,2,2020-09-13T14:19:34.977
159,159,2020-04-29T00:00:00.000,Confirmed,Community,27,2020-09-13T14:19:34.977
160,160,2020-04-30T00:00:00.000,Confirmed,Community,19,2020-09-13T14:19:34.977
