,specimen_collection_date,case_disposition,transmission_category,case_count,last_updated_at
126,2020-04-18T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
127,2020-04-18T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
128,2020-04-19T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
129,2020-04-19T00:00:00.000,Confirmed,From Contact,5,2020-09-24T14:20:21.067
130,2020-04-19T00:00:00.000,Confirmed,Community,26,2020-09-24T14:20:21.067
131,2020-04-19T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
132,2020-04-20T00:00:00.000,Confirmed,Community,26,2020-09-24T14:20:21.067
133,2020-04-20T00:00:00.000,Confirmed,From Contact,12,2020-09-24T14:20:21.067
134,2020-04-20T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
135,2020-04-21T00:00:00.000,Confirmed,Community,13,2020-09-24T14:20:21.067
136,2020-04-21T00:00:00.000,Confirmed,From Contact,17,2020-09-24T14:20:21.067
137,2020-04-22T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
138,2020-04-22T00:00:00.000,Confirmed,Unknown,1,2020-09-24T14:20:21.067
139,2020-04-22T00:00:00.000,Confirmed,From Contact,12,2020-09-24T14:20:21.067
140,2020-04-22T00:00:00.000,Confirmed,Community,20,2020-09-24T14:20:21.067
141,2020-04-23T00:00:00.000,Confirmed,Community,32,2020-09-24T14:20:21.067
142,2020-04-23T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
143,2020-04-23T00:00:00.000,Confirmed,From Contact,14,2020-09-24T14:20:21.067
144,2020-04-24T00:00:00.000,Confirmed,Community,16,2020-09-24T14:20:21.067
145,2020-04-24T00:00:00.000,Confirmed,From Contact,20,2020-09-24T14:20:21.067
146,2020-04-25T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
147,2020-04-25T00:00:00.000,Confirmed,Community,34,2020-09-24T14:20:21.067
148,2020-04-25T00:00:00.000,Confirmed,From Contact,18,2020-09-24T14:20:21.067
149,2020-04-26T00:00:00.000,Confirmed,Community,23,2020-09-24T14:20:21.067
150,2020-04-26T00:00:00.000,Confirmed,From Contact,9,2020-09-24T14:20:21.067
151,2020-04-27T00:00:00.000,Confirmed,From Contact,12,2020-09-24T14:20:21.067
152,2020-04-27T00:00:00.000,Confirmed,Community,24,2020-09-24T14:20:21.067
153,2020-04-28T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
154,2020-04-28T00:00:00.000,Confirmed,From Contact,26,2020-09-24T14:20:21.067
155,2020-04-28T00:00:00.000,Confirmed,Community,46,2020-09-24T14:20:21.067
156,2020-04-29T00:00:00.000,Confirmed,Community,27,2020-09-24T14:20:21.067
157,2020-04-29T00:00:00.000,Confirmed,From Contact,22,2020-09-24T14:20:21.067
158,2020-04-29T00:00:00.000,Death,From Contact,2,2020-09-24T14:20:21.067
159,2020-04-29T00:00:00.000,Death,Community,1,2020-09-24T14:20:21.067
160,2020-04-30T00:00:00.000,Confirmed,Community,19,2020-09-24T14:20:21.067
161,2020-04-30T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
162,2020-04-30T00:00:00.000,Confirmed,From Contact,19,2020-09-24T14:20:21.067
163,2020-05-01T00:00:00.000,Confirmed,Community,17,2020-09-24T14:20:21.067
164,2020-05-01T00:00:00.000,Death,From Contact,1,2020-09-24T14:20:21.067
165,2020-05-01T00:00:00.000,Confirmed,From Contact,17,2020-09-24T14:20:21.067
