,Unnamed: 0,County,Date,Total negative tests,Total cases,Deaths per day,Cases per day,Negative tests per day,Tests per day,Total deaths,7 day rolling case average,7 day rolling deaths average,7 day rolling tests average
76,76,Racine,5/30/2020,10934,1714,1,62,337,399,36,57.57142857142857,2.0,0.09722557297949336
77,77,Racine,5/31/2020,11282,1722,1,8,348,356,37,47.85714285714285,2.142857142857143,0.08778825995807127
78,78,Racine,6/1/2020,11297,1733,3,11,15,26,40,48.42857142857143,2.142857142857143,0.09477215543751748
79,79,Racine,6/2/2020,11729,1762,1,29,432,461,41,52.42857142857143,2.2857142857142856,0.09747675962815404
80,80,Racine,6/3/2020,13106,1797,0,35,1377,1412,41,31.142857142857146,1.8571428571428568,0.05482897384305835
81,81,Racine,6/4/2020,13664,1838,3,41,558,599,44,33.285714285714285,1.5714285714285714,0.05918211836423672
82,82,Racine,6/5/2020,14182,1878,2,40,518,558,46,32.285714285714285,1.5714285714285714,0.05930202046706901
83,83,Racine,6/6/2020,14806,1906,1,28,624,652,47,27.42857142857143,1.5714285714285714,0.047244094488188976
84,84,Racine,6/7/2020,15475,1910,0,4,669,673,47,26.857142857142854,1.4285714285714286,0.042912577037206114
85,85,Racine,6/8/2020,15480,1911,0,1,5,6,47,25.42857142857143,1.0,0.040816326530612235
86,86,Racine,6/9/2020,16696,1939,4,28,1216,1244,51,25.285714285714285,1.4285714285714286,0.03440902021772939
87,87,Racine,6/10/2020,17007,1952,0,13,311,324,51,22.142857142857146,1.4285714285714286,0.03821499013806706
88,88,Racine,6/11/2020,17408,1966,0,14,401,415,51,18.285714285714285,1.0,0.033057851239669415
89,89,Racine,6/12/2020,17703,1975,1,9,295,304,52,13.857142857142858,0.8571428571428571,0.026810392482034272
90,90,Racine,6/13/2020,18017,1986,2,11,314,325,54,11.428571428571427,1.0,0.024308720753570344
91,91,Racine,6/14/2020,18239,1989,0,3,222,225,54,11.285714285714285,1.0,0.0277875483644038
92,92,Racine,6/15/2020,18336,1991,0,2,97,99,54,11.428571428571427,1.0,0.027247956403269755
93,93,Racine,6/16/2020,19120,2033,1,42,784,826,55,13.428571428571427,0.5714285714285714,0.03733121525019857
94,94,Racine,6/17/2020,19380,2039,1,6,260,266,56,12.428571428571427,0.7142857142857143,0.03536585365853658
95,95,Racine,6/18/2020,19770,2053,0,14,390,404,56,12.428571428571427,0.7142857142857143,0.03552470396080033
96,96,Racine,6/19/2020,20616,2066,1,13,846,859,57,13.0,0.7142857142857143,0.030292942743009317
97,97,Racine,6/20/2020,21056,2079,1,13,440,453,58,13.285714285714285,0.5714285714285714,0.02969348659003832
98,98,Racine,6/21/2020,21212,2081,0,2,156,158,58,13.142857142857142,0.5714285714285714,0.0300163132137031
99,99,Racine,6/22/2020,21702,2090,0,9,490,499,58,14.142857142857142,0.5714285714285714,0.028571428571428567
100,100,Racine,6/23/2020,22944,2107,2,17,1242,1259,60,10.571428571428571,0.7142857142857143,0.018984094407388404
101,101,Racine,6/24/2020,23409,2114,1,7,465,472,61,10.714285714285714,0.7142857142857143,0.018274853801169583
102,102,Racine,6/25/2020,23801,2124,0,10,392,402,61,10.142857142857142,0.7142857142857143,0.017308629936616284
103,103,Racine,6/26/2020,24143,2144,0,20,342,362,61,11.142857142857142,0.5714285714285714,0.02163661581137309
104,104,Racine,6/27/2020,24363,2148,0,4,220,224,61,9.857142857142858,0.42857142857142855,0.02043838862559242
105,105,Racine,6/28/2020,24530,2151,0,3,167,170,61,10.0,0.42857142857142855,0.02066115702479339
106,106,Racine,6/29/2020,24939,2155,0,4,409,413,61,9.285714285714286,0.42857142857142855,0.01968503937007874
107,107,Racine,6/30/2020,25716,2171,2,16,777,793,63,9.142857142857142,0.42857142857142855,0.02256699576868829
108,108,Racine,7/1/2020,26250,2176,0,5,534,539,63,8.857142857142858,0.2857142857142857,0.021357216672407853
109,109,Racine,7/2/2020,26983,2187,1,11,733,744,64,9.0,0.42857142857142855,0.019414483821263484
110,110,Racine,7/3/2020,27301,2194,1,7,318,325,65,7.142857142857142,0.5714285714285714,0.015586034912718203
111,111,Racine,7/4/2020,27296,2196,0,2,-5,-3,65,6.857142857142858,0.5714285714285714,0.0161019792016102
112,112,Racine,7/5/2020,27443,2217,0,21,147,168,65,9.428571428571429,0.5714285714285714,0.02215508559919436
113,113,Racine,7/6/2020,27446,2218,0,1,3,4,65,9.0,0.5714285714285714,0.0245136186770428
114,114,Racine,7/7/2020,28773,2253,0,35,1327,1362,65,11.714285714285715,0.2857142857142857,0.02612296909843899
115,115,Racine,7/8/2020,29236,2272,0,19,463,482,65,13.714285714285715,0.2857142857142857,0.031148604802076568
116,116,Racine,7/9/2020,29625,2294,0,22,389,411,65,15.285714285714285,0.14285714285714285,0.03892324481629684
117,117,Racine,7/10/2020,29928,2306,0,12,303,315,65,16.0,0.0,0.04089083607155897
118,118,Racine,7/11/2020,30612,2326,0,20,684,704,65,18.571428571428573,0.0,0.03772489843296576
119,119,Racine,7/12/2020,30723,2339,0,13,111,124,65,17.428571428571427,0.0,0.035861258083480306
120,120,Racine,7/13/2020,30795,2349,0,10,72,82,65,18.714285714285715,0.0,0.037643678160919535
121,121,Racine,7/14/2020,31653,2391,0,42,858,900,65,19.714285714285715,0.0,0.04572564612326044
122,122,Racine,7/15/2020,32119,2418,0,27,466,493,65,20.857142857142858,0.0,0.0482007263123143
